name,latitude,longitude,color
!Xoon [nmn],-24,21.5,#BA7D72
/Xam [xam],-30.34,21.82,#BA7D72
||Ani [hnh],-19.3,22.5,#45A494
||Gana [gnk],-19,22.5,#407778
Aari [aiw],6,36.6,#45A494
Abipon [axb],-26,-61,#7D4884
Abkhaz [abk],43,41.03,#425991
Abma [app],-15.75,168.083,#BA7D72
Abui [abz],-8.417,124.6,#BA679A
Abun [kgr],-0.833,132,#BA7D72
Acehnese [ace],5.333,96.167,#CD857F
Achumawi [acv],41.5,-121,#7D4884
Adyghe [ady],44.1,39.08,#425991
Adynyamathanha [adt],-31,139.5,#53A0A8
Adzera [azr],-6.417,146.25,#BA679A
Agarabi [agd],-6.25,145.917,#425991
Aghem [agq],6.39,10.12,#BA7D72
Agta [agt],17.967,121.833,#CD857F
Aguaruna [agr],-5.25,-78,#425991
Agutaynen [agn],11.15,120.95,#CD857F
Ai-cham_Diwo [aih],25.8,107,#DDD483
Ainu [ain],43.5,142,#7D4884
Aka [hru],27.2,92.9,#45A494
Akan [aka],6.5,-1.25,#BA7D72
Akha [ahk],20.3,99.6,#91CC88
Akkadian [akk],33.1,44,#8C542B
Alabama [akz],32.7,-86.1,#673CA3
Alamblak [amp],-4.667,143.25,#625EA1
Albanian Tosk [als],40.5,20,#668D13
Aleut [ale],54,-166,#425991
Alune [alp],-3.167,128.333,#BA679A
Alyawarr [aly],-24.6,134.5,#6862AB
Amarasi [aaz],-10.08,124.33,#BA679A
Ambae_West [omb],-15.5,167.75,#BA679A
Ambai [amk],-1.917,136.733,#BA679A
Ambonese Malay [abs],-3.7,128.2,#DDD483
Amdo [adx],36,94,#37C1A0
Amele [aey],-5.25,145.75,#BA679A
Amharic [amh],10,38,#407778
Amis [ami],23.333,121.333,#CD857F
Amoy [nan],24.5,118,#91CC88
Anejom [aty],-20.25,169.833,#CD857F
Anem [anz],-5.667,149,#BA679A
Angas [anc],9.75,8.75,#BA7D72
Anguthimri [xxx-3],-12.333,141.833,#53A0A8
Anindilyagwa [aoi],-14,136.5,#6862AB
Anong [nun],27.2,98.8,#91CC88
Ao [njo],27,95,#45A494
Apalai [apy],0,-54,#7D4884
Apatani [apt],27.4,93.8,#45A494
Apurinã [apu],-9,-67,#7D4884
Arabana [ard],-28,137,#53A0A8
Arabic [arb],30,42,#8C542B
Arabic_Abha [acw-4],18.22,42.51,#8C542B
Arabic_Afghanistan [acm-3],36.7,67.12,#8C542B
Arabic_Basra [acm],30.5,47.825,#8C542B
Arabic_Bukhara [abh],39.77,64.43,#407778
Arabic_Egyptian [arz],30,30,#8C542B
Arabic_Gulf [afb],24,54,#8C542B
Arabic_Harb [acw-5],25.81,42.87,#8C542B
Arabic_Khuzestan [acm-2],31.33,48.69,#8C542B
Arabic_Moroccan [ary],34,-7,#8C542B
Arabic_Sudanese [apd],15.5,32.56,#8C542B
Arabic_Syrian [apc],33,37,#8C542B
Arabic_Tunisian [aeb],36,10,#8C542B
Arandai [jbj],-2.17,133,#625EA1
Araona  [aro],-12.333,-67.75,#425991
Archi [aqc],42.07,46.86,#425991
Arguni [agf],-2.667,132.5,#BA679A
Arizona Tewa [tew],35.8,-110.4,#673CA3
Armenian [hye],40,45,#27974E
Arop-Lokep [apr],-5.333,147.083,#BA679A
Arrernte_Central [are],-22.85,133.7,#6862AB
Arrernte_Mparntwe [aer],-24,136,#6862AB
Asheninka_Apurucayali [cpc],-10.018,-74.793,#7D4884
Asmat [asc],-5.167,138.5,#625EA1
Assamese [asm],26.5,93,#27974E
Ata [ata],-5.667,151,#BA679A
Atayal [tay],24.5,121,#CD857F
Athpare [aph],26.75,87.33,#425991
Atong [aot],25.5,90.5,#45A494
Atsugewi [atw],40.75,-121,#7D4884
Awa [awb],-6.75,145.667,#407778
Awa Pit [kwi],0.75,-78.5,#407778
Awar [aya],-4,144.625,#45A494
Awtuw [kmn],-3.5,141.917,#407778
Aymara [ayr],-16,-69.5,#407778
Azerbaijani [azj],40.5,48.5,#27974E
Azeri [azb],40.67,47.75,#27974E
Baagandji [drl],-32,142.533,#6862AB
Babungo [bav],6.12,10.42,#BA7D72
Badimaya [bia],-27.667,120,#53A0A8
Bafut [bfd],6.083,10.0999,#BC5B5B
Bagirmi [bmi],10.2,17,#BA7D72
Bagri [bgq],29.6,74.3,#27974E
Bahing [bhj],27.27,86.56,#425991
Bahnar [bdq],14,108.5,#DDD483
Bai [bca],26,100,#91CC88
Bajau_Semporna [ssb],4.5,118.5,#CD857F
Balangao [blw],17.167,120.333,#CD857F
Balanta [ble],12,-15,#BA7D72
Balantak [blz],-0.82,123.431,#CD857F
Balinese [ban],-8.583,115.25,#CD857F
Balochi [bgp-2],27,63.5,#27974E
Balti [bft],35.2,76,#37C1A0
Bambara [bam],12.5,-7.5,#8C9CA1
Banda [bnd],-5.25,133.17,#BA679A
Bandjalang [bdy],-28.75,153,#53A0A8
Bandjalang-Gidabal [bdy-3],-28.25,152,#53A0A8
Banggai [bgz],-1.42,123.17,#CD857F
Banggime [dbb],14.78,-3.76,#8C9CA1
Banjar [bjn],-2.5,115.5,#CD857F
Bankariya [cdm-2],27.5,85,#45A494
Bantawa [bap],27.2,87.1,#425991
