name,latitude,longitude,color,family,country
!Xoon [nmn],-24,21.5,#A19A73,Tuu,Botswana
/Xam [xam],-30.34,21.82,#A68D69,Tuu,South Africa
||Ani [hnh],-19.3,22.5,#5F7B87,Khoe,Botswana
||Gana [gnk],-19,22.5,#5E7171,Khoe,Botswana
Aari [aiw],6,36.6,#318F90,Afro-Asiatic,Ethiopia
Abipon [axb],-26,-61,#A84450,Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#644590,North-west Caucasus,Georgia
Abma [app],-15.75,168.083,#A67284,Austronesian,Vanuatu
Abui [abz],-8.417,124.6,#B25ED1,Timor-Alor-Pantar,Indonesia
Abun [kgr],-0.833,132,#D9CFB0,West Papuan,Indonesia
Acehnese [ace],5.333,96.167,#E39773,Austronesian,Indonesia
Achumawi [acv],41.5,-121,#665173,Palaihnihan,USA
Adyghe [ady],44.1,39.08,#2447A9,North-west Caucasus,Russia
Adynyamathanha [adt],-31,139.5,#42847E,Pama-Nyungan,Australia
Adzera [azr],-6.417,146.25,#C682AA,Austronesian,Papua New Guinea
Agarabi [agd],-6.25,145.917,#0A50A8,Trans New Guinea,Papua New Guinea
Aghem [agq],6.39,10.12,#C37867,Niger-Kongo,Cameroon
Agta [agt],17.967,121.833,#C28640,Austronesian,Philippines
Aguaruna [agr],-5.25,-78,#3F4994,Jivaroan,Peru
Agutaynen [agn],11.15,120.95,#AF5E56,Austronesian,Philippines
Ai-cham_Diwo [aih],25.8,107,#F7EF9C,Tai-Kadai,China
Ainu [ain],43.5,142,#905B8E,Ainu,Japan
Aka [hru],27.2,92.9,#3C7CA8,Tibeto-Burman,India
Akan [aka],6.5,-1.25,#C361C2,Niger-Kongo,Ghana
Akha [ahk],20.3,99.6,#92D0BA,Tibeto-Burman,Thailand
Akkadian [akk],33.1,44,#4D5834,Afro-Asiatic,Iraq
Alabama [akz],32.7,-86.1,#5023B4,Muskogean,USA
Alamblak [amp],-4.667,143.25,#68617B,Sepik,Papua New Guinea
Albanian Tosk [als],40.5,20,#757A2A,Indo-European,Albania
Aleut [ale],54,-166,#194F86,Eskimo-Aleut,USA
Alune [alp],-3.167,128.333,#D450B9,Austronesian,Indonesia
Alyawarr [aly],-24.6,134.5,#519495,Pama-Nyungan,Australia
Amarasi [aaz],-10.08,124.33,#D2658B,Austronesian,Indonesia
Ambae_West [omb],-15.5,167.75,#BD6183,Austronesian,Vanuatu
Ambai [amk],-1.917,136.733,#D774AC,Austronesian,Indonesia
Ambonese Malay [abs],-3.7,128.2,#D8BD78,Austronesian,Indonesia
Amdo [adx],36,94,#4ABEC7,Tibeto-Burman,China
Amele [aey],-5.25,145.75,#90729F,Trans New Guinea,Papua New Guinea
Amharic [amh],10,38,#415C42,Afro-Asiatic,Ethiopia
Amis [ami],23.333,121.333,#B77F2A,Austronesian,Taiwan
Amoy [nan],24.5,118,#B3E379,Tibeto-Burman,China
Anejom [aty],-20.25,169.833,#CD5C81,Austronesian,Vanuatu
Anem [anz],-5.667,149,#C972A7,Anem,Papua New Guinea
Angas [anc],9.75,8.75,#E2919B,Afro-Asiatic,Nigeria
Anguthimri [xxx-3],-12.333,141.833,#3CAC7F,Pama-Nyungan,Australia
Anindilyagwa [aoi],-14,136.5,#7A3768,Anindilyagwa,Australia
Anong [nun],27.2,98.8,#70A9A0,Tibeto-Burman,China
Ao [njo],27,95,#5BB3C6,Tibeto-Burman,India
Apalai [apy],0,-54,#782CA7,Cariban,Brazil
Apatani [apt],27.4,93.8,#44BD87,Tibeto-Burman,India
Apurinã [apu],-9,-67,#945471,Arawak,Brazil
Arabana [ard],-28,137,#39B069,Pama-Nyungan,Australia
Arabic [arb],30,42,#854617,Afro-Asiatic,Saudi Arabia
Arabic_Abha [acw-4],18.22,42.51,#963C23,Afro-Asiatic,Saudi Arabia
Arabic_Afghanistan [acm-3],36.7,67.12,#665D42,Afro-Asiatic,Afghanistan
Arabic_Basra [acm],30.5,47.825,#7E6654,Afro-Asiatic,Iraq
Arabic_Bukhara [abh],39.77,64.43,#507041,Afro-Asiatic,Uzbekistan
Arabic_Egyptian [arz],30,30,#B14942,Afro-Asiatic,Egypt
Arabic_Gulf [afb],24,54,#A15538,Afro-Asiatic,United Arab Emirates
Arabic_Harb [acw-5],25.81,42.87,#98521E,Afro-Asiatic,Saudi Arabia
Arabic_Khuzestan [acm-2],31.33,48.69,#9B461C,Afro-Asiatic,Iran
Arabic_Moroccan [ary],34,-7,#A64429,Afro-Asiatic,Morocco
Arabic_Sudanese [apd],15.5,32.56,#A24043,Afro-Asiatic,Sudan
Arabic_Syrian [apc],33,37,#9C481D,Afro-Asiatic,Syria
Arabic_Tunisian [aeb],36,10,#813F35,Afro-Asiatic,Tunisia
Arandai [jbj],-2.17,133,#4B50B2,Trans New Guinea,Indonesia
Araona  [aro],-12.333,-67.75,#4F5898,Tacanan,Bolivia
Archi [aqc],42.07,46.86,#18569E,Nakh-Daghestanian,Russia
Arguni [agf],-2.667,132.5,#C59FBF,Austronesian,Indonesia
Arizona Tewa [tew],35.8,-110.4,#644CC7,Kiowa-Tanoan,USA
Armenian [hye],40,45,#3B8735,Indo-European,Armenia
Arop-Lokep [apr],-5.333,147.083,#CF6EA7,Austronesian,Papua New Guinea
Arrernte_Central [are],-22.85,133.7,#4294AA,Pama-Nyungan,Australia
Arrernte_Mparntwe [aer],-24,136,#599894,Pama-Nyungan,Australia
Asheninka_Apurucayali [cpc],-10.018,-74.793,#773B83,Arawak,Peru
Asmat [asc],-5.167,138.5,#6F56AD,Trans New Guinea,Indonesia
Assamese [asm],26.5,93,#2BA162,Indo-European,India
Ata [ata],-5.667,151,#C33C93,Ata,Papua New Guinea
Atayal [tay],24.5,121,#CC8A64,Austronesian,Taiwan
Athpare [aph],26.75,87.33,#314F8E,Tibeto-Burman,Nepal
Atong [aot],25.5,90.5,#45AD91,Tibeto-Burman,India
Atsugewi [atw],40.75,-121,#5C5661,Palaihnihan,USA
Awa [awb],-6.75,145.667,#15617F,Trans New Guinea,Papua New Guinea
Awa Pit [kwi],0.75,-78.5,#2C7F68,Barbacoan,Ecuador
Awar [aya],-4,144.625,#59B1B6,Lower Sepik-Ramu,Papua New Guinea
Awtuw [kmn],-3.5,141.917,#43B8A5,Sepik,Papua New Guinea
Aymara [ayr],-16,-69.5,#506F65,Aymaran,Peru
Azerbaijani [azj],40.5,48.5,#11A772,Turkic,Azerbaijan
Azeri [azb],40.67,47.75,#159F6C,Turkic,Azerbaijan
Baagandji [drl],-32,142.533,#387448,Pama-Nyungan,Australia
Babungo [bav],6.12,10.42,#CCAF6B,Niger-Kongo,Cameroon
Badimaya [bia],-27.667,120,#33B969,Pama-Nyungan,Australia
Bafut [bfd],6.083,10.0999,#AB6C6E,Niger-Kongo,Cameroon
Bagirmi [bmi],10.2,17,#C87695,Nilo-Saharan,Chad
Bagri [bgq],29.6,74.3,#2C9C36,Indo-European,India
Bahing [bhj],27.27,86.56,#28579F,Tibeto-Burman,Nepal
