name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#A56175,Tuu,!Kwi,Botswana
/Xam [xam],-30.34,21.82,#967F86,Tuu,!Kwi,South Africa
||Ana [xxx-2],-22.2,22.4,#55904C,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#536C4A,Khoe,Khoe,Botswana
||Gana [gnk],-19,22.5,#439950,Khoe,Khoe,Botswana
Aari [aiw],6,36.6,#5559AC,Afro-Asiatic,Omotic,Ethiopia
Abau [aau],-4,141.167,#4C3D73,Sepik,Abau,Papua New Guinea
Abipon [axb],-26,-61,#A6B271,Guaicuruan,Southern,Argentina
Abkhaz [abk],43,41.03,#3E7C8A,North-west Caucasus,Abaza-Abkhaz,Georgia
Abma [app],-15.75,168.083,#917673,Oceanic,Southern Oceanic,Vanuatu
Abui [abz],-8.417,124.6,#70427F,Timor-Alor-Pantar,Alor-Pantar,Indonesia
Abun [kgr],-0.833,132,#A7456E,West Papuan,Birds Head,Indonesia
Acehnese [ace],5.333,96.167,#AE9890,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Achuar [acu],-3,-76,#3D72A6,Jivaroan,,Peru
Achumawi [acv],41.5,-121,#9BC176,Palaihnihan,,USA
Adyghe [ady],44.1,39.08,#3E6F9B,North-west Caucasus,Circassian,Russia
Adynyamathanha [adt],-31,139.5,#539A7D,Pama-Nyungan,Yura,Australia
Adzera [azr],-6.417,146.25,#A84248,Oceanic,Western Oceanic,Papua New Guinea
Agarabi [agd],-6.25,145.917,#2EA27F,Trans New Guinea,Kainantu,Papua New Guinea
Aghem [agq],6.39,10.12,#C35464,Niger-Kongo,Bantoid,Cameroon
Agta [agt],17.967,121.833,#C2D67C,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#51677D,Jivaroan,,Peru
Agutaynen [agn],11.15,120.95,#C6D07C,Malayo-Polynesian,Philippines,Philippines
Ai-cham_Diwo [aih],25.8,107,#C36277,Tai-Kadai,South,China
