Language_name	Family_name	subfamily_name	genus_name	status	dot_color	label_color	latitude	longitude
Aari	South Omotic	Omotic	South Omotic	unknown/safe	#A9A9A9	#A9A9A9	5.95034	36.5721
Aasax	Afro-Asiatic			extinct	#FF0000	#FF0000	-4.00679	36.8648
Abadi	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-9.03389	146.992
Abaga	Nuclear Trans New Guinea			critically endangered	#FF6500	#FF6500	-6.12028	145.665
Abai Sungai	Austronesian			definitely endangered	#EDED21	#EDED21	5.55394	118.306
Abanyom	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.30619	8.63055
Mungbam	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.5805	10.2267
Abau	Sepik		Upper Sepik	unknown/safe	#A9A9A9	#A9A9A9	-3.97222	141.324
Abaza	Abkhaz-Adyge		Northwest Caucasian	definitely endangered	#EDED21	#EDED21	41.1214	42.7273
AbÃ©	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.59682	-4.38497
Abenlen Ayta	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	15.4131	120.2
Abidji	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	5.65656	-4.58421
Abinomn				unknown/safe	#A9A9A9	#A9A9A9	-2.92281	138.891
Abipon	Guaicuruan			extinct	#FF0000	#FF0000	-29	-61
Aewa				extinct	#FF0000	#FF0000	-0.69386	-75.2183
Abkhazian	Abkhaz-Adyge		Northwest Caucasian	vulnerable	#CBCB65	#CBCB65	43.056218	41.159115
Abom	Anim			unknown/safe	#A9A9A9	#A9A9A9	-8.42448	142.842
Abon	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.90621	10.8769
Abron	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	7.72094	-2.50289
Abua	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.83057	6.61492
Abui	Timor-Alor-Pantar		Greater Alor	unknown/safe	#A9A9A9	#A9A9A9	-8.31058	124.588
Abun				unknown/safe	#A9A9A9	#A9A9A9	-0.57073	132.416
Abure	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.21534	-3.64123
Abureni	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	4.62301	6.50634
Abu	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.24027	144.474
Acatepec Me'phaa	Otomanguean			unknown/safe	#A9A9A9	#A9A9A9	17.1034	-99.0602
Longchuan Achang	Sino-Tibetan	Tibeto-Burman	Burmese-Lolo	unknown/safe	#A9A9A9	#A9A9A9	24.3479	97.7438
Achagua	Arawakan			severely endangered	#FFCB00	#FFCB00	4.38649	-72.2005
Ache	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	24.152	102.446
Acheron	Narrow Talodi			severely endangered	#FFCB00	#FFCB00	10.8827	30.3187
AchÃ©	Tupian		Tupi-GuaranÃ_	definitely endangered	#EDED21	#EDED21	-25.5865	-56.4697
Achi	Mayan			vulnerable	#CBCB65	#CBCB65	15.073	-90.3513
Achinese	Austronesian		Malayo-Sumbawan	unknown/safe	#A9A9A9	#A9A9A9	3.90757	96.6032
Achterhoeks	Indo-European			vulnerable	#CBCB65	#CBCB65	52.021	6.47521
Achumawi	Palaihnihan			critically endangered	#FF6500	#FF6500	41.0979	-121.191
Achuar-Shiwiar	Chicham		Jivaroan	definitely endangered	#EDED21	#EDED21	-2.82646	-77.2641
Acoli	Nilotic		Nilotic	unknown/safe	#A9A9A9	#A9A9A9	3.57738	32.5147
AcroÃ¡	Nuclear-Macro-Je			extinct	#FF0000	#FF0000	-12.594	-40.21445
Adabe	Bookkeeping			vulnerable	#CBCB65	#CBCB65	-8.22674	125.576
Adai				extinct	#FF0000	#FF0000	31.6314	-92.0059
Adamorobe Sign Language	Sign Language			unknown/safe	#A9A9A9	#A9A9A9	5.834	-0.151
Adamawa Fulfulde	Atlantic-Congo	Atlantic	Northern Atlantic	unknown/safe	#A9A9A9	#A9A9A9	8.140326	13.077338
Adangme	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	5.9437	0.13243
Adangbe	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.50546	0.727155
Adang	Timor-Alor-Pantar		Greater Alor	unknown/safe	#A9A9A9	#A9A9A9	-8.18958	124.448
Adap	Bookkeeping			unknown/safe	#A9A9A9	#A9A9A9	27.141	90.3369
Adasen	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	17.8187	120.905
Adele	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	8.16975	0.619185
Adhola	Nilotic			unknown/safe	#A9A9A9	#A9A9A9	0.73235	34.0341
Adioukrou	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	5.38228	-4.52522
Kotia-Adivasi Oriya-Desiya	Indo-European		Indic	unknown/safe	#A9A9A9	#A9A9A9	18.1046	82.8487
Adiwasi Garasia	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	24.0712	73.1426
Adnyamathanha	Pama-Nyungan			definitely endangered	#EDED21	#EDED21	-30.1451	138.671
