Language_name	Family_name	subfamily_name	genus_name	status	color	latitude	longitude
Aari	South Omotic	Omotic	South Omotic	unknown/safe	#B700FF	5.95034	36.5721
Aasax	Afro-Asiatic			extinct	#FF0600	-4.00679	36.8648
Abadi	Austronesian			unknown/safe	#FF5E00	-9.03389	146.992
Abaga	Nuclear Trans New Guinea			critically endangered	#0013FF	-6.12028	145.665
Abai Sungai	Austronesian			definitely endangered	#FF5E00	5.55394	118.306
Abanyom	Atlantic-Congo			unknown/safe	#FF5200	6.30619	8.63055
Mungbam	Atlantic-Congo			unknown/safe	#FF5200	6.5805	10.2267
Abau	Sepik		Upper Sepik	unknown/safe	#7800FF	-3.97222	141.324
Abaza	Abkhaz-Adyge		Northwest Caucasian	definitely endangered	#FF0000	41.1214	42.7273
Abé	Atlantic-Congo			unknown/safe	#FF5200	5.59682	-4.38497
Abenlen Ayta	Austronesian			unknown/safe	#FF5E00	15.4131	120.2
Abidji	Atlantic-Congo		Kwa	unknown/safe	#FF5200	5.65656	-4.58421
Abipon	Guaicuruan			extinct	#4CFF00	-29	-61
Abkhazian	Abkhaz-Adyge		Northwest Caucasian	vulnerable	#FF0000	43.056218	41.159115
Abom	Anim			unknown/safe	#FF2600	-8.42448	142.842
Abon	Atlantic-Congo			unknown/safe	#FF5200	6.90621	10.8769
Abron	Atlantic-Congo			unknown/safe	#FF5200	7.72094	-2.50289
Abua	Atlantic-Congo			unknown/safe	#FF5200	4.83057	6.61492
Abui	Timor-Alor-Pantar		Greater Alor	unknown/safe	#FF00E3	-8.31058	124.588
Abure	Atlantic-Congo			unknown/safe	#FF5200	5.21534	-3.64123
Abureni	Atlantic-Congo			unknown/safe	#FF5200	4.62301	6.50634
Abu	Lower Sepik-Ramu			unknown/safe	#00F6FF	-4.24027	144.474
Acatepec Me'phaa	Otomanguean			unknown/safe	#0600FF	17.1034	-99.0602
Longchuan Achang	Sino-Tibetan	Tibeto-Burman	Burmese-Lolo	unknown/safe	#8B00FF	24.3479	97.7438
Achagua	Arawakan			severely endangered	#FF3900	4.38649	-72.2005
Ache	Sino-Tibetan			unknown/safe	#8B00FF	24.152	102.446
Acheron	Narrow Talodi			severely endangered	#0052FF	10.8827	30.3187
Aché	Tupian		Tupi-Guaraní	definitely endangered	#FF00BD	-25.5865	-56.4697
Achi	Mayan			vulnerable	#00AAFF	15.073	-90.3513
Achinese	Austronesian		Malayo-Sumbawan	unknown/safe	#FF5E00	3.90757	96.6032
Achterhoeks	Indo-European			vulnerable	#00FF13	52.021	6.47521
Achumawi	Palaihnihan			critically endangered	#1300FF	41.0979	-121.191
Achuar-Shiwiar	Chicham		Jivaroan	definitely endangered	#FFEF00	-2.82646	-77.2641
Acoli	Nilotic		Nilotic	unknown/safe	#0045FF	3.57738	32.5147
Acroá	Nuclear-Macro-Je			extinct	#000DFF	-12.594	-40.21445
Adamawa Fulfulde	Atlantic-Congo	Atlantic	Northern Atlantic	unknown/safe	#FF5200	8.140326	13.077338
Adangme	Atlantic-Congo			unknown/safe	#FF5200	5.9437	0.13243
Adangbe	Atlantic-Congo			unknown/safe	#FF5200	6.50546	0.727155
Adang	Timor-Alor-Pantar		Greater Alor	unknown/safe	#FF00E3	-8.18958	124.448
Adasen	Austronesian			unknown/safe	#FF5E00	17.8187	120.905
Adele	Atlantic-Congo			unknown/safe	#FF5200	8.16975	0.619185
Adhola	Nilotic			unknown/safe	#0045FF	0.73235	34.0341
Adioukrou	Atlantic-Congo		Kwa	unknown/safe	#FF5200	5.38228	-4.52522
Kotia-Adivasi Oriya-Desiya	Indo-European		Indic	unknown/safe	#00FF13	18.1046	82.8487
Adiwasi Garasia	Indo-European			unknown/safe	#00FF13	24.0712	73.1426
Adnyamathanha	Pama-Nyungan			definitely endangered	#1900FF	-30.1451	138.671
Adonara	Austronesian			unknown/safe	#FF5E00	-8.32027	123.159
Adyghe	Abkhaz-Adyge		Northwest Caucasian	vulnerable	#FF0000	44	39.33
Adzera	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-6.39394	146.294
Aekyom	Awin-Pa			unknown/safe	#FF6500	-5.88478	141.532
Aer	Indo-European			unknown/safe	#00FF13	25.254	69.029
Afade	Afro-Asiatic	Chadic	Biu-Mandara	unknown/safe	#FF0600	12.0551	14.6343
Afar	Afro-Asiatic			unknown/safe	#FF0600	12.2281	41.8083
Afitti	Nyimang			severely endangered	#0006FF	12.446	30.7611
Afrikaans	Indo-European		Germanic	unknown/safe	#00FF13	-22	30
Afro-Seminole Creole	Indo-European			unknown/safe	#00FF13	31.7843	-99.2934
Agariya	Unattested			unknown/safe	#FF00A4	24.5024	82.297
Agarabi	Nuclear Trans New Guinea		Eastern Highlands	unknown/safe	#0013FF	-6.20604	145.917
Agatu	Atlantic-Congo			unknown/safe	#FF5200	7.97915	7.71639
Agavotaguerra	Unattested			extinct	#FF00A4	-13.29849	-53.43936
Aghem	Atlantic-Congo	Benue-Congo	Bantoid	unknown/safe	#FF5200	6.38956	10.0807
Aghul	Nakh-Daghestanian	Daghestanian	Lezgic	definitely endangered	#0065FF	41.9242	47.5843
Aghu Tharnggalu	Pama-Nyungan			extinct	#1900FF	-13.735	142.426
Aghu	Nuclear Trans New Guinea		Awju-Dumut	unknown/safe	#0013FF	-6.34674	140.043
Aghwan	Nakh-Daghestanian			extinct	#0065FF	40.374444	47.126667
Agi	Nuclear Torricelli			unknown/safe	#0019FF	-3.49104	142.387
Agob-Ende-Kawam	Pahoturi			unknown/safe	#0D00FF	-9.08521	142.532
Agoi	Atlantic-Congo			unknown/safe	#FF5200	5.87953	8.21629
Aguano	Unattested			extinct	#FF00A4	-5.25	-75.8333
Aguacateco	Mayan		Mayan	unknown/safe	#00AAFF	15.3307	-91.3153
Aguaruna	Chicham		Jivaroan	vulnerable	#FFEF00	-5.30044	-77.9218
Aguna	Atlantic-Congo			unknown/safe	#FF5200	7.49256	1.74452
Agusan Manobo	Austronesian			unknown/safe	#FF5E00	8.62731	125.742
Agutaynen	Austronesian			unknown/safe	#FF5E00	10.5328	119.655
Agwagwune	Atlantic-Congo			unknown/safe	#FF5200	5.81055	8.03166
Ahanta	Atlantic-Congo			unknown/safe	#FF5200	4.85147	-1.94657
Àhàn	Atlantic-Congo			unknown/safe	#FF5200	7.44139	6.00896
Thavung	Austroasiatic			definitely endangered	#FF5800	17.7655	104.229
Ahin-Kayapa Kalanguya	Austronesian			unknown/safe	#FF5E00	16.321	120.90003
Ahom	Tai-Kadai			extinct	#E300FF	27.2778	88.464
Ahtena	Athapaskan-Eyak-Tlingit		Athapaskan	critically endangered	#FF4C00	61.7068	-144.889
Ndunic	Atlantic-Congo			unknown/safe	#FF5200	9.17635	8.56205
Ai-Cham	Tai-Kadai			unknown/safe	#E300FF	25.4908	107.844
Aighon	Austronesian			unknown/safe	#FF5E00	-5.99488	150.272
Aiklep	Austronesian			unknown/safe	#FF5E00	-6.23575	149.571
Aimaq	Indo-European			unknown/safe	#00FF13	35.283	59.1756
Aimele	Bosavi			unknown/safe	#FFB000	-6.68656	142.656
Aimol	Sino-Tibetan			critically endangered	#8B00FF	24.6437	94.3556
Ainbai	Border			severely endangered	#FFA400	-3.09214	141.149
Hokkaido Ainu	Ainu		Ainu	critically endangered	#FF0D00	43.633654	142.46167
Ainu (China)	Turkic		Turkic	unknown/safe	#FF00B0	39.2714	76.4209
Aiome	Lower Sepik-Ramu			unknown/safe	#00F6FF	-5.13467	144.765
Airoran	Greater Kwerba			unknown/safe	#58FF00	-1.8522	138.158
Aiton	Tai-Kadai			severely endangered	#E300FF	26.5145	92.3169
Aja (Benin)	Atlantic-Congo		Kwa	unknown/safe	#FF5200	7.06634	1.64992
Aja (Sudan)	Kresh-Aja			critically endangered	#00FFC3	8.58003	25.6122
Ajawa	Afro-Asiatic			extinct	#FF0600	10.21	9.89205
Ajië	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#FF5E00	-21.3029	165.468
Ajyíninka Apurucayali	Arawakan			vulnerable	#FF3900	-9.82364	-74.61947
Aka	Eastern Jebel			critically endangered	#97FF00	11.2101	33.6524
Aka-Bo	Great Andamanese			extinct	#5EFF00	12.3629	92.8011
Aka-Bea	Great Andamanese		Great Andamanese	extinct	#5EFF00	12.3782	92.7818
Aka-Cari	Great Andamanese		Great Andamanese	extinct	#5EFF00	13.49086	92.94855
Aka-Jeru	Great Andamanese			extinct	#5EFF00	13.1525	92.9504
Aka-Kora	Great Andamanese			extinct	#5EFF00	12.0944	92.7466
Aka-Kede	Great Andamanese		Great Andamanese	extinct	#5EFF00	12.8494	92.8227
Aka-Kol	Great Andamanese			extinct	#5EFF00	12.73253	92.78661
Akan	Atlantic-Congo		Kwa	unknown/safe	#FF5200	6.34756	-1.33254
Akar-Bale	Great Andamanese			extinct	#5EFF00	12.6663	92.8278
Akaselem	Atlantic-Congo			unknown/safe	#FF5200	8.8858	1.37035
Akawaio	Cariban		Cariban	vulnerable	#FFD000	6.16277	-60.862
Akebu	Atlantic-Congo			unknown/safe	#FF5200	7.78365	0.77668
Ake	Atlantic-Congo			unknown/safe	#FF5200	8.59543	8.75768
Akei	Austronesian			unknown/safe	#FF5E00	-15.6377	166.767
Akha	Sino-Tibetan	Tibeto-Burman	Burmese-Lolo	unknown/safe	#8B00FF	21.2309	100.964
Akhvakh	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#0065FF	42.4003	46.3037
Akkala Sami	Uralic			extinct	#FF0097	67.8625	32.4046
Ak	Sepik			severely endangered	#7800FF	-3.57026	141.784
Aklanon	Austronesian		Greater Central Philippine	unknown/safe	#FF5E00	11.5543	122.354
Akolet	Austronesian			unknown/safe	#FF5E00	-6.22711	150.182
Akoose	Atlantic-Congo			unknown/safe	#FF5200	4.9243	9.65522
Akoye	Angan			unknown/safe	#FF1F00	-7.66067	145.669
Akpa	Atlantic-Congo			unknown/safe	#FF5200	7.32586	8.01629
Akpes	Atlantic-Congo			unknown/safe	#FF5200	7.50256	5.95559
Akpondu	Atlantic-Congo			extinct	#FF5200	9.235232	8.545454
Chini	Lower Sepik-Ramu			unknown/safe	#00F6FF	-4.88687	144.821
Akuku	Atlantic-Congo			unknown/safe	#FF5200	7.40354	6.34264
Akum	Atlantic-Congo			critically endangered	#FF5200	6.85716	9.96261
Akuntsu	Tupian			unknown/safe	#FF00BD	-12.8322	-60.9716
Akurio	Cariban			critically endangered	#FFD000	3.19607	-55.6294
Akwa	Atlantic-Congo			unknown/safe	#FF5200	-0.39897	15.4623
Alabama	Muskogean		Muskogean	definitely endangered	#0071FF	30.76738	-94.62848
Alabat Island Agta	Austronesian			critically endangered	#FF5E00	14.1217	122.014
Alaba-K'abeena	Afro-Asiatic			unknown/safe	#FF0600	7.39014	38.1732
Alacalufe-Austral	Kawesqar			extinct	#00FF78	-54.788017	-70.140381
Alacalufe-Central	Kawesqar			extinct	#00FF78	-53.435719	-71.04126
Alacatlatzala Mixtec	Otomanguean		Mixtecan	unknown/safe	#0600FF	17.4944	-98.4674
Alago	Atlantic-Congo			unknown/safe	#FF5200	8.34986	8.52085
Alagwa	Afro-Asiatic	Cushitic	Southern Cushitic	unknown/safe	#FF0600	-4.64148	35.7231
Alak	Austroasiatic			unknown/safe	#FF5800	15.5565	106.597
Alamblak	Sepik		Sepik Hill	unknown/safe	#7800FF	-4.66307	143.316
Alangan	Austronesian			unknown/safe	#FF5E00	13.0982	121.022
Alapmunte	Unattested			extinct	#FF00A4	-12.329886	-59.996702
Alawa	Mangarrayi-Maran			critically endangered	#00C9FF	-15.5458	134.282
Inland-Buhi-Daraga Bikol	Austronesian			unknown/safe	#FF5E00	13.1989	123.49
Alcozauca Mixtec	Otomanguean			unknown/safe	#0600FF	17.3687	-98.3969
Alege	Atlantic-Congo			unknown/safe	#FF5200	6.59423	9.00394
Alekano	Nuclear Trans New Guinea		Eastern Highlands	unknown/safe	#0013FF	-6.03901	145.387
Aleut	Eskimo-Aleut		Aleut	critically endangered	#84FF00	52.1228	-174.29
Algerian Arabic	Afro-Asiatic			unknown/safe	#FF0600	35.4208	3.23033
Algerian Saharan Arabic	Afro-Asiatic			unknown/safe	#FF0600	20.8884	4.80626
Algonquin	Algic		Algonquian	severely endangered	#FF1300	47.3876	-77.5258
Ali	Atlantic-Congo			unknown/safe	#FF5200	4.60014	18.0352
Allar	Dravidian			unknown/safe	#B7FF00	11.0803	76.6593
Alladian	Atlantic-Congo		Kwa	unknown/safe	#FF5200	5.22371	-4.42647
Allentiac	Huarpean			extinct	#13FF00	-33.480938	-68.096924
Alngith	Pama-Nyungan			extinct	#1900FF	-12.5324	141.938
Aloápam Zapotec	Otomanguean			unknown/safe	#0600FF	17.4137	-96.7438
Alo Phola	Sino-Tibetan			vulnerable	#8B00FF	23.59	101.933
Alorese	Austronesian			unknown/safe	#FF5E00	-8.20382	124.264
Alugu	Sino-Tibetan			unknown/safe	#8B00FF	23	103
Alu Kurumba	Dravidian			unknown/safe	#B7FF00	11.3456	76.7995
Alumu-Tesu	Atlantic-Congo			unknown/safe	#FF5200	9.01513	8.55956
Alune	Austronesian		Central Malayo-Polynesian	vulnerable	#FF5E00	-3.11477	128.394
Aluo	Sino-Tibetan			definitely endangered	#8B00FF	26	102
Alur	Nilotic			unknown/safe	#0045FF	2.36213	31.0016
Alutor	Chukotko-Kamchatkan		Northern Chukotko-Kamchatkan	severely endangered	#EFFF00	60.3844	165.653
Alviri-Vidari	Indo-European			definitely endangered	#00FF13	35.0075	50.3794
Alyawarr	Pama-Nyungan			unknown/safe	#1900FF	-21.0427	136.835
Amahai	Austronesian			critically endangered	#FF5E00	-3.32028	128.939
Amahuaca	Pano-Tacanan		Panoan	severely endangered	#1F00FF	-10.2012	-72.3208
Amaimon	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.18742	145.368
Amal	Sepik			unknown/safe	#7800FF	-4.04517	141.995
Amanab	Border		Border	unknown/safe	#FFA400	-3.51516	141.178
Amanayé	Tupian			extinct	#FF00BD	-3.79772	-48.6613
Ama (Papua New Guinea)	Left May		Left May	unknown/safe	#00FFE9	-4.20192	141.658
Amurdak	Iwaidjan Proper			unknown/safe	#00FF1F	-11.9876	132.878
