name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-50.778,152.999,#998D5C,Tuu,!Kwi,Botswana
/Xam [xam],-44.047,166.812,#9D8662,Tuu,!Kwi,South Africa
||Ani [hnh],-5.472,17.075,#66877D,Khoe,Khoe,Botswana
||Gana [gnk],-39.937,-0.006,#677F6B,Khoe,Khoe,Botswana
Aari [aiw],-14.046,9.974,#348D6C,Afro-Asiatic,Omotic,Ethiopia
Abipon [axb],-20.835,-117.212,#9C4968,Guaicuruan,Southern,Argentina
Abkhaz [abk],-18.336,-51.586,#534768,North-west Caucasus,Abaza-Abkhaz,Georgia
Abma [app],0.587,-154.944,#A86C80,Oceanic,Southern Oceanic,Vanuatu
Abui [abz],35.242,-144.116,#B05CAA,Timor-Alor-Pantar,Alor-Pantar,Indonesia
Abun [kgr],2.922,144.106,#CBB684,West Papuan,Birds Head,Indonesia
Acehnese [ace],-8.386,161.265,#DFA071,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Achumawi [acv],28.194,-68.845,#6E529A,Palaihnihan,,USA
Adyghe [ady],3.032,-28.541,#2D5384,North-west Caucasus,Circassian,Russia
Adynyamathanha [adt],45.885,4.077,#4B83B5,Pama-Nyungan,Yura,Australia
Adzera [azr],23.867,175.838,#B88498,Oceanic,Western Oceanic,Papua New Guinea
Agarabi [agd],28.966,-32.78,#2445BC,Trans New Guinea,Kainantu,Papua New Guinea
Aghem [agq],-30.663,167.078,#C28F57,Niger-Kongo,Bantoid,Cameroon
Agta [agt],-15.177,168.918,#C18C6D,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],13.285,-47.41,#4A4692,Jivaroan,,Peru
Agutaynen [agn],14.298,-149.1,#B1628E,Malayo-Polynesian,Philippines,Philippines
Ai-cham_Diwo [aih],-1.842,132.758,#E5EE7B,Tai-Kadai,South,China
Ainu [ain],19.213,-105.991,#8C5390,Ainu,,Japan
Aka [hru],9.33,18.614,#4D9188,Tibeto-Burman,Hrusish,India
Akan [aka],12.955,-148.146,#AA658B,Niger-Kongo,Kwa,Ghana
Akha [ahk],27.402,103.521,#91C7A5,Tibeto-Burman,Lolo-Burmese,Thailand
Akkadian [akk],-47.048,-56.289,#615144,Afro-Asiatic,Semitic,Iraq
Alabama [akz],25.168,-69.275,#5F29AB,Muskogean,Eastern,USA
Alamblak [amp],-6.904,-55.423,#635579,Sepik,Sepik Hill,Papua New Guinea
Albanian Tosk [als],-83.961,-22.519,#757B14,Indo-European,Albanian,Albania
Aleut [ale],8.993,-26.423,#2F588E,Eskimo-Aleut,Aleut,USA
Alune [alp],21.645,-143.549,#C64CA2,Malayo-Polynesian,Central Maluku,Indonesia
Alyawarr [aly],54.914,34.526,#5C98BC,Pama-Nyungan,Arandic,Australia
Amarasi [aaz],-1.206,-159.712,#CC637E,Malayo-Polynesian,Timoric,Indonesia
Ambae_West [omb],11.898,-155.604,#C0628F,Oceanic,Southern Oceanic,Vanuatu
Ambai [amk],2.307,-163.565,#CA6983,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Ambonese Malay [abs],0.986,142.332,#D2BF81,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Amdo [adx],31.536,51.375,#47C6B7,Tibeto-Burman,Bodic,China
Amele [aey],25.765,-116.47,#8D638F,Trans New Guinea,Madang,Papua New Guinea
Amharic [amh],-49.978,-35.08,#495930,Afro-Asiatic,Semitic,Ethiopia
Amis [ami],-7.251,-175.198,#B17B79,Austronesian,East Formosan,Taiwan
Amoy [nan],-14.528,113.166,#A5D767,Tibeto-Burman,Sinitic,China
Anejom [aty],14.954,-165.677,#D06B96,Oceanic,Southern Oceanic,Vanuatu
Anem [anz],14.351,177.939,#BE828F,Anem,,Papua New Guinea
Angas [anc],-11.599,160.945,#D19C6E,Afro-Asiatic,Chadic,Nigeria
Anguthimri [xxx-3],29.44,38.351,#4CA8A4,Pama-Nyungan,North Cape York,Australia
Anindilyagwa [aoi],26.049,-84.433,#7A4C99,Anindilyagwa,,Australia
Anong [nun],2.271,73.124,#6AC682,Tibeto-Burman,Nungish,China
Ao [njo],42.088,62.84,#5EC0C1,Tibeto-Burman,Kuki-Chin-Naga,India
Apalai [apy],27.905,-85.338,#7829AD,Cariban,Apalai,Brazil
Apatani [apt],9.586,48.265,#49BC8D,Tibeto-Burman,Tani,India
Apurinã [apu],-13.094,-105.897,#904471,Arawak,South-Southwest,Brazil
Arabana [ard],27.793,30.127,#38A9AB,Pama-Nyungan,Karnic,Australia
Arabic [arb],-50.396,-102.111,#8E3B2B,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Abha [acw-4],-48.496,-108.587,#983729,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Afghanistan [acm-3],-53.633,-52.403,#625A3F,Afro-Asiatic,Semitic,Afghanistan
Arabic_Basra [acm],-66.225,-93.595,#81633F,Afro-Asiatic,Semitic,Iraq
Arabic_Bukhara [abh],-53.147,-25.345,#4F6838,Afro-Asiatic,Semitic,Uzbekistan
Arabic_Egyptian [arz],-43.494,-127.803,#B23F32,Afro-Asiatic,Semitic,Egypt
Arabic_Gulf [afb],-55.769,-126.13,#9F5430,Afro-Asiatic,Semitic,United Arab Emirates
Arabic_Harb [acw-5],-60.637,-120.219,#9C4F1B,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Khuzestan [acm-2],-53.987,-117.104,#9E4424,Afro-Asiatic,Semitic,Iran
Arabic_Moroccan [ary],-49.871,-116.458,#A23A24,Afro-Asiatic,Semitic,Morocco
Arabic_Sudanese [apd],-47.192,-120.776,#A24637,Afro-Asiatic,Semitic,Sudan
Arabic_Syrian [apc],-55.532,-120.114,#A04821,Afro-Asiatic,Semitic,Syria
Arabic_Tunisian [aeb],-52.975,-94.235,#843E29,Afro-Asiatic,Semitic,Tunisia
Arandai [jbj],26.154,-45.972,#53519F,Trans New Guinea,South Birds Head,Indonesia
Araona  [aro],31.23,-49.803,#5850A5,Tacanan,Araona-Tacana,Bolivia
Archi [aqc],-10.396,-18.18,#26626E,Nakh-Daghestanian,Lezgic,Russia
Arguni [agf],29.932,165.33,#C090A6,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Arizona Tewa [tew],34.863,-58.759,#6452A5,Kiowa-Tanoan,Tewa-Tiwa,USA
Armenian [hye],-52.312,-5.068,#417A2E,Indo-European,Armenian,Armenia
Arop-Lokep [apr],28.056,-169.355,#BA749F,Oceanic,Western Oceanic,Papua New Guinea
Arrernte_Central [are],53.913,24.373,#5394C3,Pama-Nyungan,Arandic,Australia
Arrernte_Mparntwe [aer],52.911,42.714,#639AB3,Pama-Nyungan,Arandic,Australia
Asheninka_Apurucayali [cpc],11.062,-83.192,#783E8C,Arawak,South-Southwest,Peru
Asmat [asc],30.764,-71.809,#6F4D9F,Trans New Guinea,Asmat-Kamoro,Indonesia
Assamese [asm],-28.198,19.021,#289E4E,Indo-European,Indo-Iranian,India
Ata [ata],10.312,-129.35,#BC3691,Ata,,Papua New Guinea
Atayal [tay],0.596,176.197,#BD8480,Austronesian,Atayalic,Taiwan
Athpare [aph],5.21,-29.866,#3A5887,Tibeto-Burman,Kiranti,Nepal
Atong [aot],15.023,39.007,#4BAA92,Tibeto-Burman,Bodo-Garo,India
Atsugewi [atw],13.403,-49.204,#645F8A,Palaihnihan,,USA
Awa [awb],17.24,-28.989,#34559A,Trans New Guinea,Kainantu,Papua New Guinea
Awa Pit [kwi],-25.405,-11.162,#34715B,Barbacoan,Northern,Ecuador
Awar [aya],35.315,57.106,#5FB1A9,Lower Sepik-Ramu,Ramu,Papua New Guinea
Awtuw [kmn],27.48,37.421,#51A39E,Sepik,Ram,Papua New Guinea
Aymara [ayr],-11.377,-31.647,#536475,Aymaran,,Peru
Azerbaijani [azj],-22.085,14.542,#26975A,Turkic,South-west,Azerbaijan
Azeri [azb],-30.415,8.733,#238E49,Turkic,South-west,Azerbaijan
Baagandji [drl],16.636,-13.834,#407093,Pama-Nyungan,Baagandji,Australia
Babungo [bav],-28.31,153.92,#BE9E5A,Niger-Kongo,Bantoid,Cameroon
Badimaya [bia],32.042,31.082,#42A4AC,Pama-Nyungan,Kardu,Australia
Bafut [bfd],-45.937,-167.087,#AA7652,Niger-Kongo,Bantoid,Cameroon
Bagirmi [bmi],2.704,165.923,#BE8F83,Nilo-Saharan,Central_Sudanic,Chad
Bagri [bgq],-38.875,15.176,#249833,Indo-European,Indo-Iranian,India
Bahing [bhj],30.848,-2.643,#347CAD,Tibeto-Burman,Kiranti,Nepal
Bahnar [bdq],1.23,138.262,#DFD482,Austroasiatic,Bahnaric,Vietnam
Bai [bca],-6.221,96.513,#87C278,Tibeto-Burman,Bai,China
Bajau_Semporna [ssb],0.158,179.117,#DE8180,Malayo-Polynesian,Barito,Indonesia
Balangao [blw],3.773,179.36,#C98084,Malayo-Polynesian,Philippines,Philippines
Balanta [ble],-1.318,-142.303,#C7487D,Niger-Kongo,Atlantic,Guinea Bissau
Balantak [blz],16.061,-176.902,#CF7B96,Malayo-Polynesian,Celebic,Indonesia
Balinese [ban],0.762,153.525,#E6B381,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Balochi [bgp-2],-28.73,22.095,#369D54,Indo-European,Indo-Iranian,Pakistan
Balti [bft],11.336,31.402,#23B895,Tibeto-Burman,Bodic,Pakistan
Bambara [bam],5.551,108.067,#848E81,Mande,Western,Mali
Banda [bnd],23.405,-178.737,#CA7EA0,Malayo-Polynesian,Central Maluku,Indonesia
Bandjalang [bdy],17.932,31.912,#4AA194,Pama-Nyungan,Central-East,Australia
Bandjalang-Gidabal [bdy-3],36.664,28.436,#5596A3,Pama-Nyungan,Central-East,Australia
Banggai [bgz],7.695,-161.529,#C36989,Malayo-Polynesian,Celebic,Indonesia
Banggime [dbb],39.585,119.521,#92A19F,Banggime,,Mali
Banjar [bjn],-7.451,155.416,#DDAA72,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Bankariya [cdm-2],14.758,20.658,#329D95,Tibeto-Burman,Chepang,Nepal
Bantawa [bap],29.436,-16.38,#2565B5,Tibeto-Burman,Kiranti,Nepal
Baoan [peh],1.894,42.351,#3FBB82,Mongolic,Eastern,China
Barai [bbb],18.66,-75.258,#74558E,Trans New Guinea,Koiari,Papua New Guinea
Baram [brd],18.738,44.1,#34C8A3,Tibeto-Burman,Western Himalayan,Nepal
Barang-barang [lji],5.999,-167.123,#DD6A8A,Malayo-Polynesian,Greater South Sulawesi,Indonesia
Barasano [bsn],-1.062,-37.069,#4B587E,Tucanoan,East,Colombia
Bardi [bcj],53.769,-53.341,#6E68A8,Nyulnyul,West,Australia
Bari [bfa],-15.155,170.29,#BF8A6E,Nilo-Saharan,East_Sudanic,South Sudan
Barupu [wra],27.114,-127.784,#A74DA0,Skou,East,Papua New Guinea
Bashkir [bak],-21.848,16.099,#27995B,Turkic,North-west,Russia
Basque [eus],-32.464,-17.25,#4B6F5D,Basque,,Spain
Batuley [bay],9.747,-161.472,#D5638F,Malayo-Polynesian,Southeast Maluku,Indonesia
Bawm [bgr],31.843,80.092,#78AA9B,Tibeto-Burman,Kuki-Chin-Naga,India
Begak [dbj-2],21.269,169.658,#CA8D9D,Malayo-Polynesian,North Borneo,Malaysia
Beja [bej],-31.3,-35.101,#425452,Afro-Asiatic,Cushitic,Sudan
Belarussian [bel],-68.225,3.955,#53830F,Indo-European,Balto-Slavic,Belarus
Belhare [byw],32.833,-19.95,#2B61BA,Tibeto-Burman,Kiranti,Nepal
Bemba [bem],-18.128,-147.93,#B0616D,Niger-Kongo,Bantoid,Zambia
Bembe [bmb],-25.717,-145.008,#B55A60,Niger-Kongo,Bantoid,Democratic Republic of the Congo
Bende [bdp],-18.368,-147.36,#BF5766,Niger-Kongo,Bantoid,Tanzania
Bengali [ben],-36.904,19.077,#2B9D3D,Indo-European,Indo-Iranian,Bangladesh
Berik [bkl],28.197,-18.353,#5E7492,Trans New Guinea,Tor,Indonesia
Betta_Kurumba [xub],5.719,-5.908,#0C748B,Dravidian,South,India
Bhojpuri [bho],-38.084,14.438,#239735,Indo-European,Indo-Iranian,India
Biak [bhw],0.848,-166.916,#C66F81,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Bih [rad-2],-0.015,136.057,#E1DD7F,Malayo-Polynesian,Malayo-Sumbawan,Vietnam
Bijago [bjg],-12.701,-131.325,#AA4F71,Niger-Kongo,Atlantic,Guinea Bissau
Bikol [bcl],24.267,178.97,#CA81A1,Malayo-Polynesian,Philippines,Philippines
Biloxi [bll],40.683,-74.269,#6D3DBA,Siouan,Western,USA
Bilua [blb],-4.906,-112.01,#934E7B,Solomons East Papuan,,Solomons
Binandere [bhg],38.336,10.81,#5E869B,Trans New Guinea,Binanderean,Papua New Guinea
Bininj Gun-Wok [gup],15.614,-103.757,#8E4690,Gunwinyku,Marne,Australia
Biri [bzr],15.459,24.556,#50958E,Pama-Nyungan,GreaterMari,Australia
Blackfoot [bla],13.612,-92.679,#85139A,Algic,Algonquian,Canada
Blang [blr],8.368,143.666,#E3C992,Austroasiatic,Palaungic,China
Bobongko [bgb],15.551,178.369,#D98298,Malayo-Polynesian,Celebic,Indonesia
Bokar [adi-2],25.276,69.22,#64C8A4,Tibeto-Burman,Tani,India
Bontok [bnc],-0.32,-179.679,#CC7F7F,Malayo-Polynesian,Philippines,Philippines
Bouyei_west [pcc-2],8.912,141.335,#E8D394,Tai-Kadai,North,China
Brag-g.yab [khg-2],6.416,39.898,#27C98C,Tibeto-Burman,Bodic,China
Brahui [brh],-33.81,-6.178,#3C7852,Dravidian,North,Pakistan
Brao [brb],-1.461,134.826,#DFE07C,Austroasiatic,Bahnaric,Vietnam
Breton [bre],-66.612,-117.988,#965511,Indo-European,Celtic,France
Bribri [bzd],61.314,116.197,#858B98,Chibchan,West,Costa Rica
Brokpa [sgt],22.934,34.865,#3CAEA2,Tibeto-Burman,Bodic,Bhutan
Bugan [bbh],5.158,139.361,#D5C98A,Austroasiatic,Mangic,China
Bugis [bug],-5.986,178.507,#D58277,Malayo-Polynesian,Greater South Sulawesi,Indonesia
Bugun [bgn],3.679,42.003,#4CAE84,Kho-Bwa,Bugun,India
Buin [buo],19.687,-56.843,#584499,East Bougainville,,Papua New Guinea
Bukiyip_Arapesh [ape],-19.476,-148.696,#A9666E,Torricelli,Kombio-Arapesh,Papua New Guinea
Bularnu [yil],24.655,45.272,#4FB19F,Pama-Nyungan,Ngarna,Australia
Bulgarian [bul],-80.276,-0.649,#6C7F0D,Indo-European,Balto-Slavic,Bulgaria
Bumbita_Arapesh [aon],5.449,-153.984,#B66585,Torricelli,Kombio-Arapesh,Papua New Guinea
Bumthang [kjz],17.185,49.439,#36D5A2,Tibeto-Burman,Bodic,Bhutan
Bumthang_Ura [kjz-2],27.115,43.563,#37C5B3,Tibeto-Burman,Bodic,Bhutan
Bunan [bfu],-3.323,16.864,#2B997A,Tibeto-Burman,Western Himalayan,India
Bunaq [bfn],37.385,-161.238,#B06FA6,Timor-Alor-Pantar,Mainland,Indonesia
Bunun [bnn],10.831,-169.805,#CE718F,Austronesian,Bunun,Taiwan
Burarra [bvr],44.641,-90.351,#8051AE,Maningrida,,Australia
Burmese [mya],33.699,71.055,#69C2AE,Tibeto-Burman,Lolo-Burmese,Myanmar
Burmese_Myeik [mya-2],4.689,74.753,#6ACE86,Tibeto-Burman,Lolo-Burmese,Myanmar
Buru [mhs],18.116,148.232,#D0B19E,Malayo-Polynesian,Central Maluku,Indonesia
Burushaski [bsk],-21.65,-13.509,#186755,Burushaski,,Pakistan
Buryat [bxm],-24.779,-2.395,#257C56,Mongolic,Eastern,Russia
Buyang [yha],3.886,138.066,#DED588,Tai-Kadai,North,China
Buyuan Jino [jiy],21.898,91.143,#81D5A2,Tibeto-Burman,Lolo-Burmese,China
Byansi [bee],-7.069,32.75,#31B274,Tibeto-Burman,Western Himalayan,India
Caddo [cad],20.258,-75.079,#661EA5,Caddoan,Caddo,USA
Cahuilla [chl],1.617,-55.325,#533F82,Uto-Aztecan,North,USA
Cakchiquel [ckf],-47.96,-111.566,#944B41,Mayan,Quiche-Mam,Guatemala
Camling [rab],24.06,-21.22,#3261A5,Tibeto-Burman,Kiranti,Nepal
Campa [cni],-1.55,-96.428,#854D7E,Arawak,South-Southwest,Peru
Canela-Krahô [ram],56.031,162.912,#9B88AB,Macro-Je,Je,Brazil
Cantonese [yue],-5.297,111.181,#A0D277,Tibeto-Burman,Sinitic,China
Capanahua [kaq],15.667,-22.986,#396195,Panoan,Main,Peru
Car [caq],-18.269,135.861,#ADAB6B,Austroasiatic,Nicobar,India
Carib [car],11.085,-66.354,#67488B,Cariban,Guianan,Guyana
Catalan [cat],-86.369,57.087,#7C860C,Indo-European,Romance,Spain
Cayuvava [cyb],-19.023,-129.621,#B34163,Cayuvava,,Bolivia
Cebuano [ceb],6.256,179.523,#BE8086,Malayo-Polynesian,Philippines,Philippines
