name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#DF739F,Tuu,Hua,Botswana
||Ana [gnk],-22.2,22.4,#B87BAE,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#A4AAAD,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#BB99A6,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#CD718C,Tuu,/Xam,South Africa
Aari [aiw],6,36.6,#7FCBA6,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#80D572,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#A8C36C,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#C4C282,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#4863EC,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#7D1675,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#634FA3,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#5EC288,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#773482,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#4E64EC,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#BF6C77,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#B78C6B,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#D98472,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#C33E76,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#69819D,Arawak,Northern Maipuran,Colombia
Aché [guq],-25.25,-55.17,#A5AD6A,Tupian,Tupi-Guarani,Paraguay
Achuar [acu],-3,-76,#42B392,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#6047AC,Palaihnihan,,USA
Acoma [kjq-2],34.92,-107.58,#8D55BF,Keresan,Western Keresan,USA
Adim [yay],5.81,8.03,#CB7B82,Niger-Kongo,Atlantic-Congo,Nigeria
Adyghe [ady],44.1,39.08,#446BE4,Northwest Caucasus,Ubykh-Circassian,Russia
Adynyamathanha [adt],-31,139.5,#4E733A,Pama-Nyungan,Thura-Yura,Australia
Adzera [azr],-6.417,146.25,#B66A6B,Oceanic,Western Oceanic,Papua New Guinea
Afar [aar],11.85,42,#3DAB7A,Afro-Asiatic,Cushitic,Djibouti
Afrikaans [afr],-33.9,18.5,#C58466,Indo-European,Germanic,South Africa
Agarabi [agd],-6.25,145.917,#52C881,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Aghem [agq],6.39,10.12,#DE7280,Niger-Kongo,Atlantic-Congo,Cameroon
Aghu [ahh],-6.333,140,#93CC8D,Trans New Guinea,Awyu-Dumut,Indonesia-Papua
Aghu-Tharrnggala [gtu],-13.73,142.43,#6CA03E,Pama-Nyungan,Paman,Australia
Agta [agt],17.967,121.833,#92187C,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#40A59C,Jivaroan,Aguaruna,Peru
Agutaynen [agn],11.15,120.95,#701675,Malayo-Polynesian,Philippines,Philippines
Ahamb [ahb],-16.507,167.703,#B35178,Oceanic,Southern Oceanic,Vanuatu
Ahtna [aht],62,-145,#7971BF,Dene-Yeniseic,Na-Dene,USA-Alaska
Ai-cham_Diwo [aih],25.8,107,#F2777D,Tai-Kadai,Kam-Tai,China
Aikaná [tba],-12.1,-60.6,#54A4A1,Aikaná,,Brazil
Ainu [ain],43.5,142,#7A67A5,Ainu,,Japan
Ainu_Kuril [ain-2],46.5,151.5,#65699E,Ainu,,Japan
Aiwoo [nfl],-10.5,166.5,#9F2D7A,Oceanic,Te Motu,Solomons_East
Aka [axk],3.46,15.73,#C06199,Ubangian,,Central African Republic
Aka [hru-2],27.2,92.9,#91C59F,Tibeto-Burman,Hrusish,India
Akabea [abj-2],12.38,92.78,#509456,Andaman,,India_Andaman-Nicobars
Akan [aka],6.5,-1.25,#C67791,Niger-Kongo,Atlantic-Congo,Ghana
Akawaio [ake],6,-59.5,#4C978E,Cariban,Venezuelan,Guyana
Akha [ahk],20.3,99.6,#C4AE8D,Tibeto-Burman,Lolo-Burmese,Thailand
Akie [oki],-5.43,37.19,#A55189,Nilo-Saharan,Nilotic,Kenya
Akuntsu [aqz],-12.74,-60.8,#72AA5F,Tupian,Tupari,Brazil
Alaaba [alw],7.31,38.09,#69BAA6,Afro-Asiatic,Cushitic,Ethiopia
Alaala [nrz],-9,146.667,#AA7659,Oceanic,Western Oceanic,Papua New Guinea
Alabama [akz],32.7,-86.1,#4D9FAD,Muskogean,Alabama-Koasati,USA
Alagwa [wbj],-4.64,35.72,#895BAC,Afro-Asiatic,Cushitic,Tanzania
Alamblak [amp],-4.667,143.25,#4A988D,Sepik,Sepik Hill,Papua New Guinea
Alawa [alh],-15.75,134.333,#4D5C3F,Macro-Gunwinygu,Marran,Australia
Albanian_Gheg_Kosovo [aln],42.58,21,#988799,Indo-European,Albanian,Kosovo
Albanian_Tosk [als],40.5,20,#B1858E,Indo-European,Albanian,Albania
Aleut [ale],54,-166,#4791AE,Eskimo-Aleut,Aleut,USA-Alaska
Algherese [cat-3],40.55,8.32,#B6876D,Indo-European,Romance,Italy-Sardinia
Alor [aol],-8.245,124.412,#C28360,Malayo-Polynesian,Timoric,Indonesia-NTT
Alsea [aes],44.67,-123.93,#6A0CB7,Alsean,,USA
Alune [alp],-3.167,128.333,#A8447B,Malayo-Polynesian,Central Maluku,Indonesia-Maluku-north
Alyawarr [aly],-24.6,134.5,#5C7C32,Pama-Nyungan,Arandic,Australia
Alyutor [alr],61,165,#39578D,Chukotko-Kamchatkan,Main Chukotko-Kamchatkan,Russia
Ama [amm],-4.168,141.671,#5EB696,Left May,,Papua New Guinea
Amahuaca [amc],-10.8,-73.5,#48A0A7,Panoan,Main Panoan,Peru
Amam [wer-2],-7.85,146.95,#5AC26D,Trans New Guinea,Oro-Wharton,Papua New Guinea
Amanab [amn],-3.5,141.167,#76BB63,Trans New Guinea,Border,Papua New Guinea
Amanuban [aoz-2],-9.82,124.47,#B6467A,Malayo-Polynesian,Timoric,Indonesia-NTT
Amara [aie],-5.533,148.667,#AE7154,Oceanic,Western Oceanic,Papua New Guinea-Bismarcks
Amarasi [aaz],-10.08,124.33,#AD4883,Malayo-Polynesian,Timoric,Indonesia-NTT
Ambae_West [omb],-15.5,167.75,#923B77,Oceanic,Southern Oceanic,Vanuatu
Ambai [amk],-1.917,136.533,#C06277,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Ambel [xmt-2],-0.05,130.7,#BB6368,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Ambonese Malay [abs],-3.7,128.2,#C35D5C,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Maluku-north
Ambulas [abt],-3.75,143.083,#73C76A,Ndu,Nuclear Ndu,Papua New Guinea
Amdo [adx],36,94,#98D28C,Tibeto-Burman,Bodic,China
Amele_Haija [aey],-5.25,145.75,#83AF8A,Trans New Guinea,Madang,Papua New Guinea
Amharic [amh],10,38,#5872AD,Afro-Asiatic,Semitic,Ethiopia
Amis [ami],23.333,121.333,#751081,Austronesian,East Formosan,Taiwan
Amo [amo],10.33,8.67,#C96879,Niger-Kongo,Atlantic-Congo,Nigeria
Amoy [nan],24.5,118,#E09383,Tibeto-Burman,Sinitic,China
Ampale [apz],-6.753,146.107,#6DC98F,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Amuesha [ame],-10,-73,#5A2BA3,Arawak,Western Maipuan,Peru
Amuzgo [amu],16.83,-98,#A0269F,Otomanguean,Eastern Otomanguean,Mexico
Anal [anm],24.33,93.99,#72BC9B,Tibeto-Burman,Kuki-Chin-Naga,India
Anamuxra [imi],-4.667,145,#68B995,Trans New Guinea,Madang,Papua New Guinea
Andalusian [spa-4],37.5,-3.6,#B08579,Indo-European,Romance,Spain
Andoké [ano],0,-72,#72B2AC,Andoké,,Colombia
Anejom [aty],-20.25,169.833,#94237C,Oceanic,Southern Oceanic,Vanuatu
Anem [anz],-5.667,149,#B47059,Anem,,Papua New Guinea-Bismarcks
Angaatiha [agm],-7.22,146.25,#47B26F,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Angali [pes-2],29.75,50.96,#858EAF,Indo-European,Indo-Iranian,Iran
Angami [njm],25.667,94.5,#BFB871,Tibeto-Burman,Kuki-Chin-Naga,India
Angas [anc],9.75,8.75,#DC7B82,Afro-Asiatic,Chadic,Nigeria
Anggor [agg],-3.667,141.167,#83C77F,Trans New Guinea,Border,Papua New Guinea
Anguthimri [awg],-12.333,141.833,#77BC4C,Pama-Nyungan,Paman,Australia
Anindilyagwa [aoi],-14,136.5,#4A1D4D,Macro-Gunwinygu,East Arnhem,Australia
Anong [nun],27.2,98.8,#C0AE92,Tibeto-Burman,Nungish,China
