name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#273568,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#31AD98,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#366B46,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#5A6D28,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#415D39,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#3C4681,Tuu,/Xam,South Africa
Aari [aiw],6,36.6,#7C7812,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#BC5D38,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#8B3951,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#6A2C41,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#48E83B,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#7B92E6,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#52BC75,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#8B9532,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#6F9BC0,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#48E23E,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#523888,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#633E88,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#55218F,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#4649C6,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#6CA255,Arawak,Northern Maipuran,Colombia
Aché [guq],-25.25,-55.17,#983F67,Tupian,Tupi-Guarani,Paraguay
Achuar [acu],-3,-76,#ABAD31,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#62C87D,Palaihnihan,,USA
Acoma [kjq-2],34.92,-107.58,#2AA063,Keresan,Western Keresan,USA
Adim [yay],5.81,8.03,#503783,Niger-Kongo,Atlantic-Congo,Nigeria
Adyghe [ady],44.1,39.08,#56E53B,Northwest Caucasus,Ubykh-Circassian,Russia
Adynyamathanha [adt],-31,139.5,#ED7AB8,Pama-Nyungan,Thura-Yura,Australia
Adzera [azr],-6.417,146.25,#534AA4,Oceanic,Western Oceanic,Papua New Guinea
Afar [aar],11.85,42,#B3A53E,Afro-Asiatic,Cushitic,Djibouti
Afrikaans [afr],-33.9,18.5,#6F2581,Indo-European,Germanic,South Africa
Agarabi [agd],-6.25,145.917,#B59330,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Aghem [agq],6.39,10.12,#2E2789,Niger-Kongo,Atlantic-Congo,Cameroon
Aghu [ahh],-6.333,140,#775C2C,Trans New Guinea,Awyu-Dumut,Indonesia-Papua
