name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#607D9B,Tuu,Hua,Botswana
|Xam [xam],-30.34,21.82,#628489,Tuu,/Xam,South Africa
Abduyi [pes-4],29.7,52.07,#CCB46E,Indo-European,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#825679,Ndu,Nuclear Ndu,Papua New Guinea
Abipon [axb],-26,-61,#6A768E,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#9A9A95,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-13],43.32,40.41,#9A9A95,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-12],43.33,40.22,#9A9A95,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abui [abz],-8.417,124.6,#976E86,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abujh_Maria [mrr-2],18.75,80.68,#798572,Dravidian,South-Central Dravidian,India
Abure [abu],5.22,-3.64,#89617D,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Achumawi [acv],41.5,-121,#6081A5,Palaihnihan,,USA
Acipa [acp],10.71,6.01,#8B81A5,Niger-Kongo,Atlantic-Congo,Nigeria
Acoma [kjq-2],34.92,-107.58,#97678A,Keresan,Western Keresan,USA
Adzera [azr],-6.417,146.25,#7761A3,Oceanic,Western Oceanic,Papua New Guinea
Afar [aar],11.85,42,#94D2A4,Afro-Asiatic,Cushitic,Djibouti
Agta [agt],17.967,121.833,#9A476C,Malayo-Polynesian,Philippines,Philippines
Aimaq [aiq],35.28,59.18,#CCB46E,Indo-European,Indo-Iranian,Iran
Ainu [ain],43.5,142,#787369,Ainu,,Japan
Aiwoo [nfl],-10.5,166.5,#935F89,Oceanic,Te Motu,Solomons_East
Aka [axk],3.46,15.73,#8A5881,Ubangian,,Central African Republic
Akabea [abj-2],12.38,92.78,#685886,Andaman,,India_Andaman-Nicobars
Akan [aka],6.5,-1.25,#A68393,Niger-Kongo,Atlantic-Congo,Ghana
Akha [ahk],20.3,99.6,#88656F,Tibeto-Burman,Lolo-Burmese,Thailand
Akie [oki],-5.43,37.19,#6683B9,Nilo-Saharan,Eastern Sudanic,Kenya
Alacalufe_Central [alc-2],-53.528,-70.9573,#686099,Alaculufan,,Chile
Alacalufe_Southern [alc-3],-55.2,-69.4,#686099,Alaculufan,,Chile
Albanian_Gheg [aln-2],42.43,20.73,#9E946D,Indo-European,Albanian,Albania
Albanian_Gheg_Kosovo [aln],42.58,21,#9E946D,Indo-European,Albanian,Kosovo
Aleut [ale],54,-166,#6E8B92,Eskimo-Aleut,Aleut,USA-Alaska
Aleut_Atkan [ale-2],52,-174,#6E8B92,Eskimo-Aleut,Aleut,USA-Alaska
Aleut_Attuan [ale-3],52.85,172.9,#6E8B92,Eskimo-Aleut,Aleut,USA-Alaska
Aleut_Eastern [ale-4],54.75,-164,#6E8B92,Eskimo-Aleut,Aleut,USA-Alaska
Aleut_Unangas [ale-5],55.3,166,#6E8B92,Eskimo-Aleut,Aleut,USA-Alaska
Alsea [aes],44.67,-123.93,#765781,Alsean,,USA
Alur [alz],2.5,31.25,#8EA4AA,Nilo-Saharan,Eastern Sudanic,Uganda
Alutiiq [ems],58.015,-152.765,#70637C,Eskimo-Aleut,Eskimo,USA-Alaska
Alyawarr [aly],-24.6,134.5,#47AB68,Pama-Nyungan,Arandic,Australia
Amahuaca [amc],-10.8,-73.5,#7F4870,Panoan,Southern Panoan,Peru
Ambonese Malay [abs],-3.7,128.2,#A2716E,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Maluku-north
Amharic [amh],10,38,#C1B4C1,Afro-Asiatic,Semitic,Ethiopia
Amis [ami],23.333,121.333,#9C5873,Austronesian,East Formosan,Taiwan
Amoy [nan],24.5,118,#B58F6A,Tibeto-Burman,Sinitic,China
Anaguta [nar],9.964,8.731,#9183AC,Niger-Kongo,Atlantic-Congo,Nigeria
Anal [anm],24.33,93.99,#98735E,Tibeto-Burman,Kuki-Chin-Naga,India
Andalusian [spa-4],37.5,-3.6,#C6936C,Indo-European,Romance,Spain
Anfillo [myo],8.57,34.65,#8997B6,Afro-Asiatic,Omotic,Ethiopia
Angali [pes-2],29.75,50.96,#CCB46E,Indo-European,Indo-Iranian,Iran
Angami [njm],25.667,94.5,#967762,Tibeto-Burman,Kuki-Chin-Naga,India
Angas [anc],9.75,8.75,#87A5A2,Afro-Asiatic,Chadic,Nigeria
Anindilyagwa [aoi],-14,136.5,#40A565,Macro-Gunwinygu,East Arnhem,Australia
Anindilyagwa_East [aoi-2],-13.86,136.81,#40A565,Macro-Gunwinygu,East Arnhem,Australia
Anmatyerr_East [amx],-22.256,131.5,#47AB68,Pama-Nyungan,Arandic,Australia
Anmatyerr_West [amx-2],-21,135,#47AB68,Pama-Nyungan,Arandic,Australia
Antekerrepinhe [adg],-22.52,137.34,#47AB68,Pama-Nyungan,Arandic,Australia
Antwerps [nld-2],51.22,4.4,#D98F51,Indo-European,Germanic,Belgium
Añú [pbg],11,-71.62,#794B71,Arawak,Northern Maipuran,Venezuela
Anuak [anu],7.18,34.097,#8792A7,Nilo-Saharan,Eastern Sudanic,South Sudan
Anyin [any],5.9,-2.9,#915D81,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Apache_Western [apw],33.9,-109.55,#7E54A4,Dene-Yeniseic,Na-Dene,USA
Apinaye [apn],-6.25,-48,#764085,Macro-Je,Je,Brazil
Apma [app],-15.775,168.158,#79516E,Oceanic,Southern Oceanic,Vanuatu
Apma_Suru Kavian [app-2],-15.61,168.14,#79516E,Oceanic,Southern Oceanic,Vanuatu
Arabic [arb],30,42,#9AE591,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Algerian [arq],36.7,3.1,#BEBE75,Afro-Asiatic,Semitic,Algeria
Arabic_Basra [acm],30.5,47.825,#BAC3AC,Afro-Asiatic,Semitic,Iraq
Arabic_Egyptian [arz],30,30,#D8E28B,Afro-Asiatic,Semitic,Egypt
Arabic_Hadhrami_coast [jye-5],14.95,50.34,#9AE591,Afro-Asiatic,Semitic,Yemen
Arabic_Hadhrami_wadi [jye-6],16.05,49,#9AE591,Afro-Asiatic,Semitic,Yemen
Arabic_Hassaniya [mey],16.6,-7.25,#A6EC90,Afro-Asiatic,Semitic,Mauritania
Arabic_Hejazi [acw-4],21.543,41.173,#9AE591,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Jordanian [ajp-5],32,36,#C6CF7A,Afro-Asiatic,Semitic,Jordan
Arabic_Lebanese [apc-2],33.883,35.502,#BCA070,Afro-Asiatic,Semitic,Lebanon
Arabic_Levantine_Homs [ajp-7],34.7,36.7,#C6CF7A,Afro-Asiatic,Semitic,Syria
Arabic_Levantine_Outer-south [ajp-14],31.3,34.6,#C6CF7A,Afro-Asiatic,Semitic,Israel
Arabic_Levantine_Southern [ajp-13],31.7,34.9,#C6CF7A,Afro-Asiatic,Semitic,Israel
Arabic_Libyan_Western [ayl-2],32.5,13,#A9F69E,Afro-Asiatic,Semitic,Libya
Arabic_Moroccan [ary],34,-7,#CDE48D,Afro-Asiatic,Semitic,Morocco
Arabic_Najdi [acw-6],23,45.5,#9AE591,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Sa'idi [aec],25,32.75,#ABF58D,Afro-Asiatic,Semitic,Egypt
Arabic_Sudanese [apd-2],15.5,32.56,#A5F097,Afro-Asiatic,Semitic,Sudan
Arabic_Syrian [apc],33,37,#C0B377,Afro-Asiatic,Semitic,Syria
Arabic_Ta'izzi_Adeni [acq],11.502,43,#C4EB96,Afro-Asiatic,Semitic,Djibouti
Arabic_Tunisian [aeb],36,10,#C8C889,Afro-Asiatic,Semitic,Tunisia
Arabic_Yemeni [jye-2],14,47,#C4EB96,Afro-Asiatic,Semitic,Yemen
Arabic_Yemeni_Hadhrami [ayh],16.67,49.5,#C4EB96,Afro-Asiatic,Semitic,Yemen
Arabic_Yemeni_Tihamiyya [arb-6],13.083,43.833,#C4EB96,Afro-Asiatic,Semitic,Yemen
Arabic_Yemeni_Zabidi [acq-2],14.2,43.317,#C4EB96,Afro-Asiatic,Semitic,Yemen
Arapaho [arp],39.565,-105.345,#6671BC,Algic,Algonquian,USA
Arapesh_Muhiang [aoj],-3.564,142.9,#7C6476,Torricelli,Kombio-Arapesh,Papua New Guinea
Araucanian lg [arn-2],-43,-73.5,#92746F,Araucanian,,Chile
Arctic Bay_Inuit [ikt],73.036,-85.15,#6472B4,Eskimo-Aleut,Eskimo,Canada
Arikara [ari],40,-97,#776CC9,Caddoan,Northern Caddoan,USA
Arizona Tewa [tew],35.8,-110.4,#9A739D,Kiowa-Tanoan,Tewa,USA
Armenian [hye],40,45,#AE8C88,Indo-European,Armenian,Armenia
Armenian_Agulis [hye-5],38.95,45.98,#AE8C88,Indo-European,Armenian,Azerbaijan
Armenian_Kharpert [hye-8],38.67,39.22,#AE8C88,Indo-European,Armenian,Armenia
Armenian_Khodorjur [hye-4],40.73,41.2,#AE8C88,Indo-European,Armenian,Turkey
Armenian_Sebastia [hye-6],39.75,37.02,#AE8C88,Indo-European,Armenian,Armenia
Armenian_Van [hye-10],38.49,43.38,#AE8C88,Indo-European,Armenian,Turkey
Armenian_Yerevan [hye-11],40.18,44.52,#AE8C88,Indo-European,Armenian,Armenia
Arrernte_Central [are],-22.85,133.7,#47AB68,Pama-Nyungan,Arandic,Australia
Arrernte_Eastern [are-2],-23.292,134.445,#47AB68,Pama-Nyungan,Arandic,Australia
Arrernte_Mparntwe [aer],-24,136,#47AB68,Pama-Nyungan,Arandic,Australia
Arrernte_Pertame [xxx-57],-24.5,132,#47AB68,Pama-Nyungan,Arandic,Australia
Assiniboine [asb],49,-100,#617DBC,Siouan,Western Siouan,Canada
Asturian [ast],43.33,-6,#C6936C,Indo-European,Romance,Spain
Atayal [tay],24.5,121,#905F6B,Austronesian,Atayalic,Taiwan
Ateso [teo],1.915,33.955,#8F98B1,Nilo-Saharan,Eastern Sudanic,Uganda
Atsugewi [atw],40.75,-121,#6A849C,Palaihnihan,,USA
Attie [ati],6,-3.82,#836791,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Avikam [avi],5.16,-5.25,#835283,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Awadhi [awa],27.5,81.5,#CECC7E,Indo-European,Indo-Iranian,India
Ayerrerenge [axe],-22.5,137.36,#47AB68,Pama-Nyungan,Arandic,Australia
Aymara [ayr],-16,-69.5,#A57C75,Aymaran,Aymara,Peru
Aymara_Carangas [ayr-3],-18.45,-67.45,#A57C75,Aymaran,Aymara,Bolivia
Aymara_Chile [ayc],-19.15,-69.4,#A57C75,Aymaran,Aymara,Chile
Aymara_Muylaq' [ayr-2],-16.675,-70.712,#A57C75,Aymaran,Aymara,Peru
Baarin [mon-2],43.53,118.67,#A4A289,Mongolic,Core Mongolic,China
Babungo [bav],6.12,10.42,#9F7C76,Niger-Kongo,Atlantic-Congo,Cameroon
Bade [bde],12.79,10.66,#9CC495,Afro-Asiatic,Chadic,Nigeria
Bade-2 [bde-2],12,12,#9CC495,Afro-Asiatic,Chadic,Nigeria
