glottocode,name,isocodes,level,macroarea,latitude,longitude
aari1239,Aari,aiw,language,Africa,5.95034,36.5721
aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648
abad1241,Abadi,kbt,language,Papunesia,-9.03389,146.992
abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665
abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306
aban1242,Abanyom,abm,language,Africa,6.30619,8.63055
abau1245,Abau,aau,language,Papunesia,-3.97222,141.324
abaz1241,Abaza,abq,language,Eurasia,41.1214,42.7273
abee1242,Abé,aba,language,Africa,5.59682,-4.38497
aben1249,Abenlen Ayta,abp,language,Papunesia,15.4131,120.2
abid1235,Abidji,abi,language,Africa,5.65656,-4.58421
abin1243,Abinomn,bsa,language,Papunesia,-2.92281,138.891
abip1241,Abipon,axb,language,South America,-29,-61
abkh1244,Abkhazian,abk,language,Eurasia,43.056218,41.159115
abom1238,Abom,aob,language,Papunesia,-8.42448,142.842
abon1238,Abon,abo,language,Africa,6.90621,10.8769
abro1238,Abron,abr,language,Africa,7.72094,-2.50289
abuu1241,Abu,ado,language,Papunesia,-4.24027,144.474
abua1244,Abua,abn,language,Africa,4.83057,6.61492
abui1241,Abui,abz,language,Papunesia,-8.31058,124.588
abun1252,Abun,kgr,language,Papunesia,-0.57073,132.416
abur1243,Abure,abu,language,Africa,5.21534,-3.64123
abur1244,Abureni,mgj,language,Africa,4.62301,6.50634
acat1239,Acatepec Me'phaa,tpx,language,North America,17.1034,-99.0602
acha1250,Achagua,aca,language,South America,4.38649,-72.2005
ache1244,Ache,yif,language,Eurasia,24.152,102.446
ache1246,Aché,guq,language,South America,-25.5865,-56.4697
ache1245,Acheron,acz,language,Africa,10.8827,30.3187
achi1256,Achi,acr,language,North America,15.073,-90.3513
achi1257,Achinese,ace,language,Eurasia,3.90757,96.6032
acht1238,Achterhoeks,act,language,Eurasia,52.021,6.47521
achu1248,Achuar-Shiwiar,acu,language,South America,-2.82646,-77.2641
achu1247,Achumawi,acv,language,North America,41.0979,-121.191
acol1236,Acoli,ach,language,Africa,3.57738,32.5147
acro1239,Acroá,acs,language,South America,-12.594,-40.21445
adab1235,Adabe,adb,language,Papunesia,-8.22674,125.576
adai1235,Adai,xad,language,North America,31.6314,-92.0059
adam1253,Adamawa Fulfulde,fub,language,Africa,8.140326,13.077338
adam1238,Adamorobe Sign Language,ads,language,Africa,5.834,-0.151
adan1251,Adang,adn,language,Papunesia,-8.18958,124.448
adan1248,Adangbe,adq,language,Africa,6.50546,0.727155
adan1247,Adangme,ada,language,Africa,5.9437,0.13243
adap1234,Adap,adp,language,Eurasia,27.141,90.3369
adas1235,Adasen,tiu,language,Papunesia,17.8187,120.905
adel1244,Adele,ade,language,Africa,8.16975,0.619185
adho1243,Adhola,adh,language,Africa,0.73235,34.0341
adio1239,Adioukrou,adj,language,Africa,5.38228,-4.52522
adiw1235,Adiwasi Garasia,gas,language,Eurasia,24.0712,73.1426
adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671
adon1237,Adonara,adr,language,Papunesia,-8.32027,123.159
