name,latitude,longitude,color,family,subgroup,country
Beja [bej],18,36,#306A52,Afro-Asiatic,Cushitic,Sudan
Tamazight [tzm],33,-4,#913F48,Afro-Asiatic,Berber,Morocco
Riff [rif],34,-3.75,#AD4C47,Afro-Asiatic,Berber,Morocco
Kabyle [kab],36.5,5,#903243,Afro-Asiatic,Berber,Algeria
Tashelhiyt [shi],31,-5,#A24458,Afro-Asiatic,Berber,Morocco
Zenaga [zen],16.5,-16,#94444B,Afro-Asiatic,Berber,Mauritania
Buduma [bdm],13.6,14,#BD3F95,Afro-Asiatic,Chadic,Chad
Ga'anda [gqa],10.33,12.58,#AF598D,Afro-Asiatic,Chadic,Nigeria
Gude [gde],10.05,14.3,#D28E72,Afro-Asiatic,Chadic,Cameroon
Margi [mrt],11,13,#C8858A,Afro-Asiatic,Chadic,Nigeria
Mofu [mif],10.5,14.2,#AD559A,Afro-Asiatic,Chadic,Cameroon
Musgu [mug],11,15,#9E5E77,Afro-Asiatic,Chadic,Cameroon
Tera [ttr],11,11.83,#C59E79,Afro-Asiatic,Chadic,Nigeria
Awngi [awn],10.83,36.67,#0F765A,Afro-Asiatic,Cushitic,Ethiopia
Bilin [byn],15.9,38.3,#544670,Afro-Asiatic,Cushitic,Eritrea
Qimant [ahg],12.9,37,#18695E,Afro-Asiatic,Cushitic,Ethiopia
Kera [ker],9.83,15.08,#AE7381,Afro-Asiatic,Chadic,Chad
Lele [lln],9.08,15.58,#AE687A,Afro-Asiatic,Chadic,Chad
Oromo [hae],6.5,40,#558356,Afro-Asiatic,Cushitic,Ethiopia
Rendille [rel],2,37.5,#73437D,Afro-Asiatic,Cushitic,Kenya
Somali [som],7,47.5,#6C6C63,Afro-Asiatic,Cushitic,Somalia
Dizi [mdx],6.17,36.5,#327B52,Afro-Asiatic,Omotic,Ethiopia
Hamer [amf],5,36.5,#307471,Afro-Asiatic,Omotic,Ethiopia
Ometo [wal],6.6,37.75,#21875E,Afro-Asiatic,Omotic,Ethiopia
Zayse [zay],5.8,37.3,#28826A,Afro-Asiatic,Omotic,Ethiopia
