name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#99B593,Tuu,Hua,Botswana
A-Hmao [hmd],25.75,106.08,#9DDC6B,Hmong-Mien,Hmongic,China
Aari [aiw],6,36.6,#457EA9,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#3D967C,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#63AF5D,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#66C262,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#7C2BA3,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#B1884F,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#9C547B,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#66667C,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#A48077,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#813BB4,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#94B4BC,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#98A266,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#94D56B,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#BD9F58,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#83736C,Arawak,Northern Maipuran,Colombia
Achang_Longchuan [can-2],24.25,97.833,#53B374,Tibeto-Burman,Lolo-Burmese,China
Achuar [acu],-3,-76,#4B5099,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#805C6A,Palaihnihan,,USA
Aché [guq],-25.25,-55.17,#62AA6C,Tupian,Tupi-Guarani,Paraguay
Acoma [kjq-2],34.92,-107.58,#986668,Keresan,Western Keresan,USA
Adang [adn],-8.163,124.456,#8F8E4B,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Adim [yay],5.81,8.03,#88C486,Niger-Kongo,Atlantic-Congo,Nigeria
Adyghe [ady],44.1,39.08,#6E269E,Northwest Caucasus,Ubykh-Circassian,Russia
Adyghe_Black Sea Shapsugh [ady-2],44.375,38.4,#732F9B,Northwest Caucasus,Ubykh-Circassian,Abkhazia
Adynyamathanha [adt],-31,139.5,#528463,Pama-Nyungan,Thura-Yura,Australia
Adzera [azr],-6.417,146.25,#AF9577,Oceanic,Western Oceanic,Papua New Guinea
Afar [aar],11.85,42,#5F56BC,Afro-Asiatic,Cushitic,Djibouti
Afrikaans [afr],-33.9,18.5,#82CE92,Indo-European,Germanic,South Africa
Aftari_Komisenian [sqo-2],35.6,53.11,#6A7FB5,Indo-European,Indo-Iranian,Iran
Agarabi [agd],-6.25,145.917,#4E5B79,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Aghem [agq],6.39,10.12,#ABA4B0,Niger-Kongo,Atlantic-Congo,Cameroon
Aghu [ahh],-6.333,140,#619686,Trans New Guinea,Awyu-Dumut,Indonesia-Papua
Aghu-Tharrnggala [gtu],-13.73,142.43,#5B9882,Pama-Nyungan,Paman,Australia
Agta [agt],17.967,121.833,#B49156,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#565084,Jivaroan,Aguaruna,Peru
Agutaynen [agn],11.15,120.95,#B97554,Malayo-Polynesian,Philippines,Philippines
Ahamb [ahb],-16.507,167.703,#B3997A,Oceanic,Southern Oceanic,Vanuatu
Ahtna [aht],62,-145,#896169,Dene-Yeniseic,Na-Dene,USA-Alaska
Ai-cham_Diwo [aih],25.8,107,#9AE45B,Tai-Kadai,Kam-Tai,China
Aikaná [tba],-12.1,-60.6,#83266E,Aikaná,,Brazil
Ainu [ain],42.4,142.5,#9B534F,Ainu,Hokkaido-Kuril,Japan
Ainu_Kuril [ain-2],46.5,151.5,#9D4E52,Ainu,Hokkaido-Kuril,Japan
Ainu_Sakhalin [ain-3],47.975,142.2,#A44850,Ainu,Sakhalin,Japan
Ainu_Saru [ain-4],42.88,142.4,#A94849,Ainu,Hokkaido-Kuril,Japan
Aiwoo [nfl],-10.5,166.5,#D2714C,Oceanic,Te Motu,Solomons_East
Aka [axk],3.46,15.73,#B087AE,Ubangian,,Central African Republic
Aka [hru-2],27.2,92.9,#4B8C7C,Tibeto-Burman,Hrusish,India
Akabea [abj-2],12.38,92.78,#796473,Andaman,,India_Andaman-Nicobars
Akan [aka],6.5,-1.25,#A1A19D,Niger-Kongo,Atlantic-Congo,Ghana
Akawaio [ake],6,-59.5,#706C63,Cariban,Venezuelan,Guyana
Akha [ahk],20.3,99.6,#64BA59,Tibeto-Burman,Lolo-Burmese,Thailand
Akhvakh [akv],42.379,46.384,#506C8E,Nakh-Daghestanian,Avar-Andi,Russia
Akie [oki],-5.43,37.19,#AA71A1,Nilo-Saharan,Eastern Sudanic,Kenya
Akosse [bss],5.05,9.8,#BE7AC4,Niger-Kongo,Atlantic-Congo,Cameroon
Akuntsu [aqz],-12.74,-60.8,#6A8E56,Tupian,Tupari,Brazil
Alaaba [alw],7.31,38.09,#546BA5,Afro-Asiatic,Cushitic,Ethiopia
Alaala [nrz],-9,146.667,#88AE6B,Oceanic,Western Oceanic,Papua New Guinea
Alabama [akz],32.7,-86.1,#66437B,Muskogean,Alabama-Koasati,USA
Alagwa [wbj],-4.64,35.72,#868BA3,Afro-Asiatic,Cushitic,Tanzania
Alamblak [amp],-4.667,143.25,#785687,Sepik,Sepik Hill,Papua New Guinea
Alawa [alh],-15.75,134.333,#8A587E,Macro-Gunwinygu,Marran,Australia
Albanian_Gheg_Kosovo [aln],42.58,21,#7C9CC2,Indo-European,Albanian,Kosovo
Albanian_Tosk [als],40.5,20,#7DA3C4,Indo-European,Albanian,Albania
Ale [gwd],5.38,37.27,#7677B0,Afro-Asiatic,Cushitic,Ethiopia
Aleut [ale],54,-166,#574481,Eskimo-Aleut,Aleut,USA-Alaska
Algherese [cat-3],40.55,8.32,#7FB6B8,Indo-European,Romance,Italy-Sardinia
Alor [aol],-8.245,124.412,#8DC762,Malayo-Polynesian,Bima-Lembata,Indonesia-NTT
Alsea [aes],44.67,-123.93,#AF4C4B,Alsean,,USA
Alto Perené [prq-2],-10.945,-75.255,#C93269,Arawak,Southern Maipuran,Peru
Alune [alp],-3.167,128.333,#B6A074,Malayo-Polynesian,Central Maluku,Indonesia-Maluku-north
Alyawarr [aly],-24.6,134.5,#559873,Pama-Nyungan,Arandic,Australia
Alyutor [alr],61,165,#922B80,Chukotko-Kamchatkan,Main Chukotko-Kamchatkan,Russia
Ama [amm],-4.168,141.671,#675D7E,Left May,,Papua New Guinea
Amahuaca [amc],-10.8,-73.5,#4D5575,Panoan,Southern Panoan,Peru
Amam [wer],-7.85,146.95,#5B7390,Trans New Guinea,Oro-Wharton,Papua New Guinea
Amanab [amn],-3.5,141.167,#528D53,Trans New Guinea,Border,Papua New Guinea
Amanuban [aoz-2],-9.82,124.47,#B4B36E,Malayo-Polynesian,Southeast Maluku,Indonesia-NTT
Amara [aie],-5.533,148.667,#9FB56B,Oceanic,Western Oceanic,Papua New Guinea-Bismarcks
Amarasi [aaz],-10.08,124.33,#AFA478,Malayo-Polynesian,Southeast Maluku,Indonesia-NTT
Ambae_West [omb],-15.5,167.75,#B18C7C,Oceanic,Southern Oceanic,Vanuatu
Ambai [amk],-1.917,136.533,#B1B76F,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Ambel [xmt-2],-0.05,130.7,#AAB265,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia-Papua
Ambonese Malay [abs],-3.7,128.2,#9CD163,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Maluku-north
Ambulas [abt],-3.75,143.083,#45888C,Ndu,Nuclear Ndu,Papua New Guinea
Amdo [adx],36,94,#41A16D,Tibeto-Burman,Bodic,China
Amele_Haija [aey],-5.25,145.75,#798083,Trans New Guinea,Madang,Papua New Guinea
Amharic [amh],10,38,#8360BF,Afro-Asiatic,Semitic,Ethiopia
Amis [ami],23.333,121.333,#AC7D53,Austronesian,East Formosan,Taiwan
Amo [amo],10.33,8.67,#ADAFAB,Niger-Kongo,Atlantic-Congo,Nigeria
Amoy [nan],24.5,118,#7FD967,Tibeto-Burman,Sinitic,China
Ampale [apz],-6.753,146.107,#5A6382,Trans New Guinea,Morobe-Eastern Highlands,Papua New Guinea
Amuesha [ame],-10,-73,#A43B54,Arawak,Western Maipuran,Peru
