name,latitude,longitude,color,family,subgroup,country
Kabyle [kab],36.5,5,#97493B,Afro-Asiatic,Berber,Algeria
Buduma [bdm],13.6,14,#B64C9C,Afro-Asiatic,Chadic,Chad
Lele [lln],9.08,15.58,#A06599,Afro-Asiatic,Chadic,Chad
Somali [som],7,47.5,#766571,Afro-Asiatic,Cushitic,Somalia
Amharic [amh],10,38,#3A6738,Afro-Asiatic,Semitic,Ethiopia
Arabic_Moroccan [ary],34,-7,#9C4632,Afro-Asiatic,Semitic,Morocco
Ainu [ain],43.5,142,#85607B,Ainu,NA,Japan
Qawésqar [alc],-50,-75,#5F9898,Alaculufan,NA,Chile
Cree_Plains [crk],54,-116,#7E3A58,Algic,Algonquian,Canada
Wiyot [wiy],40.83,-124.17,#81417C,Algic,Wiyot,USA
Even [eve],68,130,#2E847B,Tungusic,North,Russia
Jarawa [anq],11.167,92.5,#497BB7,Andaman,NA,India
Paumarí [pad],-7,-64.5,#6B5469,Arawá,NA,Brazil
Mapudungun [arn],-36,-67,#716D6C,Araucanian,NA,Chile
Arawak [arw],-8,-37.3,#6E5A7A,Arawak,North,Brazil
Barí [mot],9,-73.5,#576C82,Chibchan,East,Venezuela
Anindilyagwa [aoi],-14,136.5,#703658,Macro-Gunwinygu,East Arnhem,Australia
Pungupungu [wdj],-13.5,130.417,#8770AA,Western Daly,NA,Australia
Gooniyandi [gni],-18.5,126.6,#837677,Bunuban,NA,Australia
Kamu [xmu],-13.583,130.833,#624795,East Daly,NA,Australia
Bininj Gun-Wok [gup],-12.5,133.75,#90275D,Macro-Gunwinygu,Gunwingyuan proper,Australia
Limilngan [lmc],-12.5,131.917,#753599,Darwin,NA,Australia
Warndarang [wnd],-14.417,135.583,#6B476F,Macro-Gunwinygu,Marran,Australia
Murrinh-Patha [mwf],-14.667,129.667,#8A3C8C,Southern Daly,NA,Australia
Nakkara [nck],-12.117,134.417,#82378E,Macro-Gunwinygu,Maningrida,Australia
Ndjébbana [djj],-12.167,134.117,#882E91,Macro-Gunwinygu,Maningrida,Australia
Ngalakgan [nig],-14.5,134.833,#5C2899,Macro-Gunwinygu,Gunwingyuan proper,Australia
Ngandi [nid],-13.5,135,#472481,Macro-Gunwinygu,Gunwingyuan proper,Australia
Yawuru [ywr],-18,122.5,#605A58,Nyulnyul,East,Australia
Arrernte_Mparntwe [aer],-24,136,#599899,Pama-Nyungan,Arandic,Australia
Dyirbal [dbl],-17.583,145.5,#59A082,Pama-Nyungan,Dyirbalic,Australia
Karajarri [gbd],-18.5,122.5,#5BBB78,Pama-Nyungan,Marngu,Australia
Pitjantjatjara [pjt],-26.833,130,#3E73A7,Pama-Nyungan,Western Desert,Australia
Wembawemba [xxx-33],-36,142,#5C724A,Pama-Nyungan,Kulin,Australia
Yidiny [yii],-17.917,146.09,#56997A,Pama-Nyungan,Yidinic,Australia
Tiwi [tiw],-11.5,131,#A24E5E,Tiwi,NA,Australia
Maranungku [zmr],-13.5,130,#7C54B2,Western Daly,NA,Australia
Maringarr [zmt],-14.25,130,#8750AD,Western Daly,NA,Australia
Kwini [gww],-14.333,126.75,#6A4C91,Wororan,NA,Australia
Ngarinyin [ung],-16.25,126.5,#965D91,Wororan,NA,Australia
Worora [unp],-15.667,124.667,#5D3A99,Wororan,NA,Australia
Khasi [kha],26,92,#A5B25B,Austroasiatic,Khasic,India
Ho [hoc],22,86,#496971,Austroasiatic,Munda,India
Sye [erg],-18.92,169.1,#975389,Oceanic,Southern Oceanic,Vanuatu
V'ënen Taut [nmb],-16.027,167.176,#C248A8,Oceanic,Southern Oceanic,Vanuatu
Tongan [ton],-21.167,-175.25,#BAA374,Oceanic,Central Pacific,Tonga
Minangkabau [min],-0.95,100.36,#E19565,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Aymara [ayr],-16,-69.5,#3E6E50,Aymaran,NA,Peru
Basque [eus],43.2,-3,#4A8063,Basque,NA,Spain
Hixkaryana [hix],1.5,-60,#6E3E79,Cariban,Parukotan,Brazil
Wari' [pav],-11.5,-65,#D06273,Chapacura,More-Waric,Brazil
Rama [rma],11.5,-83.9,#5B729A,Chibchan,East,Nicaragua
Bribri [bzd],9.5,-83,#6A97AE,Chibchan,West,Costa Rica
Embera_Baudo [bdc],5.2,-76.8,#4D7D95,Chocoan,Emberá,Colombia
Cholon [cht],-8,-77.5,#5D4A88,Cholon,NA,Peru
Selknam [ona],-53.2,-68.6,#746280,Chonan,Chonan Proper,Argentina
Nivaclé [cag],-41.5,-65.6,#713F73,Matacoan,Nivacle,Argentina
Chukchi [ckt],67,-173,#4B816F,Chukotko-Kamchatkan,Main,Russia
Buin [buo],-6.75,155.833,#394E7C,East Bougainville,NA,Papua New Guinea
Taiap [gpn],-4.033,144.5,#4455B4,Taiap,NA,Papua New Guinea
Abipon [axb],-26,-61,#9F5447,Guaicuruan,Southern,Argentina
Kadiwéu [kbc],-20,-57,#9F4F7E,Guaicuruan,Northern,Brazil
Mocoví [moc],-27,-62,#89508F,Guaicuruan,Southern,Argentina
Pilagá [plg],-25,-60,#963774,Guaicuruan,Southern,Argentina
Toba [tob],-26.5,-59,#7F507D,Guaicuruan,Southern,Argentina
Haida [hdn],53,-132,#667286,Haida,NA,Canada
Shasta [sht],41.83,-122.67,#7B239A,Shasta,NA,USA
Diegueño [dih],32.67,-116.17,#5F47A6,Yuman-Cochimi,Yuman,USA
Kiliwa [klb],31.33,-115.67,#574AAA,Yuman-Cochimi,Yuman,USA
Maricopa [mrc],33.17,-113.17,#5637B2,Yuman-Cochimi,Yuman,USA
