name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#F779BD,Tuu ,Hua,Botswana
||Ana [gnk-2],-22.2,22.4,#E879D1,Khoe ,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#EA85CF,Khoe ,Khoe,Botswana
||Gana [gnk],-19,22.5,#E784D2,Khoe ,Khoe,Botswana
||Xekwi [xeg],-23,22,#F777BB,Tuu ,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#DF85DA,Khoe ,Khoe,Botswana
|Xam [xam],-30.34,21.82,#DA78DE,Tuu ,!Kwi,South Africa
A'iwa [ash],-2,-74.5,#4F930A,A'iwa ,,Peru
A'jië [aji],-21.342,165.459,#B0E433,Oceanic,Southern Oceanic,New Caledonia
Aari [aiw],6,36.6,#A873F9,Afro-Asiatic ,Omotic,Ethiopia
Abanyom [abm],6.499,8.647,#7997FD,Niger-Kongo ,Atlantic-Congo,Nigeria
Abar [mij-3],6.59,10.26,#A1AAF5,Niger-Kongo ,Atlantic-Congo,Cameroon
Abau [aau],-4,141.167,#22ABD3,Sepik ,Abau,Papua New Guinea
Abawiri [flh-2],-3.05,139.21,#5686F9,Lakes Plains ,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#ED365B,North-west Caucasus ,Abaza-Abkhaz,Russia
Abduyi [pes-4],29.7,52.07,#B2930B,Indo-European ,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#69172D,Ndu ,Nuclear Ndu,Papua New Guinea
Abellen [abp],15.41,120.2,#356817,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#50650B,Algic ,Algonquian,USA
Aberdeenshire_English [sco-3],57.3,-2,#B5D92B,Indo-European ,Germanic,Britain-Scotland
Abidji [abi],5.66,-4.58,#90BBF2,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Abinomn [bsa],-3,138.8,#2A6A1F,Abinomn ,,Indonesia-Papua
Abipon [axb],-26,-61,#416610,Guaicuruan ,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#E32C56,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-13],43.32,40.41,#EA3359,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-12],43.33,40.22,#E52E56,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abron [abr],8.03,-2.8,#65B0F4,Niger-Kongo ,Atlantic-Congo,Ghana
Abruzzo [nap-3],42.66,13.7,#C6D331,Indo-European ,Romance,Italy
Abua [abn],4.8,6.654167,#9FC1ED,Niger-Kongo ,Atlantic-Congo,Nigeria
Abui [abz],-8.417,124.6,#3F6FEF,Timor-Alor-Pantar ,Alor-Pantar,Indonesia-NTT
Abujh_Maria [mrr-2],18.75,80.68,#7E6303,Dravidian ,South-central,India
Abun [kgr],-0.833,132,#7F6DFE,West Papuan ,Birds Head,Indonesia-Papua
Abure [abu],5.22,-3.64,#87CAEB,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Acatec [agu-2],15.7,-91.617,#C46713,Mayan ,Core Mayan,Guatemala
Aceh_Lhokseumawe [ace-6],5.19,97.14,#C0DE37,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Aceh_Pidie [ace-7],5.38,95.96,#BCE63D,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese [ace],5.333,96.167,#C0DE37,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_Northeast [ace-5],4.62,97.62,#ACEB39,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_South [ace-3],4.1,96.23,#ACEB39,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_Southwest [ace-2],5.05,95.34,#B6E234,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_West [ace-4],5.47,95.26,#B2E93A,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#7E6303,Arawak ,Northern Maipuran,Colombia
Achang_Lianghe [acn ],24.8,98.3,#BD99EF,Tibeto-Burman ,Lolo-Burmese,China
Achang_Longchuan [can-2],24.25,97.833,#C294ED,Tibeto-Burman ,Lolo-Burmese,China
Achang_Luxi [can-3],24.527,103.764,#9497FC,Tibeto-Burman ,Lolo-Burmese,China
Aćharêtâʹ [phl-2],35.4,71.75,#BB74F2,Indo-European ,Indo-Iranian,Afghanistan
Aché [guq],-25.25,-55.17,#6E9402,Tupian ,Tupi-Guarani,Paraguay
Achi [acr],15.25,-90.5,#9B6405,Mayan ,Core Mayan,Guatemala
Achuar [acu],-3,-76,#483B1D,Jivaroan ,Shuaric,Peru
Achumawi [acv],41.5,-121,#BF35DA,Palaihnihan ,,USA
Acoma [kjq-2],34.92,-107.58,#C876EB,Keresan ,Western Keresan,USA
Acooli [ach],3.293,32.871,#926DFD,Nilo-Saharan ,Nilotic,Uganda
Adang [adn],-8.163,124.456,#53B612,Timor-Alor-Pantar ,Alor-Pantar,Indonesia-NTT
Adangme [ada],5.8,0.33,#9D9BF9,Niger-Kongo ,Atlantic-Congo,Ghana
Adyghe [ady],44.1,39.08,#F14551,North-west Caucasus ,Circassian,Russia
Adyghe_Abzakh [ady-11],44.7,38.9,#F24752,North-west Caucasus ,Circassian,Russia
Adyghe_Besleney [ady-5],44.7,40.75,#F34854,North-west Caucasus ,Circassian,Russia
Adyghe_Black Sea Shapsugh [ady-14],44.375,38.4,#F9505A,North-west Caucasus ,Circassian,Russia
Adyghe_Bzhedug [ady-6],45,39.3,#F84F59,North-west Caucasus ,Circassian,Russia
Adyghe_Cherkess [ady-9],44.25,42.05,#F24752,North-west Caucasus ,Circassian,Russia
Adyghe_Hakuchi [ady-8],44.88,38,#F24752,North-west Caucasus ,Circassian,Russia
Adyghe_Kfar Kama [ady-7],32.72,35.44,#F14651,North-west Caucasus ,Circassian,Israel
Adyghe_Natukai [ady-3],44.4,38.35,#F54A55,North-west Caucasus ,Circassian,Russia
Adyghe_Shapsugh [ady-2],44.3,39,#F9505A,North-west Caucasus ,Circassian,Russia
Adyghe_Temirgoy [ady-10],45.125,39.83,#F14551,North-west Caucasus ,Circassian,Russia
Adyghe_Uzunyayla [ady-4],44.25,38.77,#F24753,North-west Caucasus ,Circassian,Russia
Adynyamathanha [adt],-31,139.5,#A31A2E,Pama-Nyungan ,Thura-Yura,Australia
Adyukru [adj],5.38,-4.53,#8597FD,Niger-Kongo ,Atlantic-Congo,Ghana
Adzera [azr],-6.417,146.25,#973615,Oceanic,Western Oceanic,Papua New Guinea
Aeka [aez],-8.601,147.994,#496EF3,Trans New Guinea ,Oro-Wharton,Papua New Guinea
Afar [aar],11.85,42,#2A6A1F,Afro-Asiatic ,Cushitic,Djibouti
Afitti [aft-2],12.44,31,#698DFD,Nilo-Saharan ,Nyimang,Sudan
Afrikaans [afr],-33.9,18.5,#53B612,Indo-European ,Germanic,South Africa
Afshar [azj-2],37.475,57.33,#99B90D,Turkic ,South-west Turkic,Iran
Agabag [mvv-2],3.965,117.095,#5F6406,Malayo-Polynesian,North Borneo,Indonesia-Kalimantan
Agarabi [agd],-6.25,145.917,#3A76ED,Trans New Guinea ,Morobe-Eastern Highlands,Papua New Guinea
Agatu [agc],7.98,7.72,#9D9BF9,Niger-Kongo ,Volta-Niger,Nigeria
Aghem [agq],6.39,10.12,#A3ABF4,Niger-Kongo ,Atlantic-Congo,Cameroon
