name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],20.218,-133.831,#5E5D91,Tuu,!Kwi,Botswana
/Xam [xam],27.444,-132.188,#6C6A8F,Tuu,!Kwi,South Africa
||Ana [xxx-2],47.636,-143.704,#5D66AE,Khoe,Khoe,Botswana
||Ani [hnh],44.383,172.798,#5D84A2,Khoe,Khoe,Botswana
||Gana [gnk],36.276,179.281,#59809C,Khoe,Khoe,Botswana
||Xekwi [xeg],-19.268,-178.257,#417E6A,Tuu,!Kwi,Botswana
|Gwi [gwj],47.349,-168.278,#5A78A9,Khoe,Khoe,Botswana
A'iwa [ash],27.329,-83.539,#864A9B,A'iwa,,Peru
A'jië [aji],1.82,38.274,#ABA281,Oceanic,,New Caledonia
Aari [aiw],-29.248,-153.491,#4D6660,Afro-Asiatic,Omotic,Ethiopia
Abanyom [abm],-43.186,47.08,#959662,Niger-Kongo,Bantoid,Nigeria
Abau [aau],29.062,-48.523,#986394,Sepik,Abau,Papua New Guinea
Abaza [abq],-3.776,-153.01,#225079,North-west Caucasus,Abaza-Abkhaz,Russia
Abelam [abt-2],7.167,23.279,#A99185,Sepik,Ndu,Papua New Guinea
Abenaki_Western [abe],48.716,-111.622,#7B748D,Algic,Algonquian,USA
Aberdeenshire English [sco-3],-42.854,-173.378,#4E7A51,Indo-European,Germanic,Britain
Abinomn [bsa],-17.884,-62.65,#9F4269,Abinomn,,Indonesia
Abipon [axb],23.01,-15.146,#9B788C,Guaicuruan,Southern,Argentina
Abkhaz [abk],-4.925,-145.692,#435679,North-west Caucasus,Abaza-Abkhaz,Georgia
Abma [app],-2.412,-51.863,#9A5D7E,Oceanic,Southern Oceanic,Vanuatu
Abua [abn],-48.695,135.067,#649B53,Niger-Kongo,CrossRiver,Nigeria
Abui [abz],-30.16,-56.421,#90666E,Timor-Alor-Pantar,Alor-Pantar,Indonesia
Abun [kgr],-53.716,-97.216,#7C6257,West Papuan,Birds Head,Indonesia
Acatec [agu-2],25.335,-106.786,#745893,Mayan,Kanjobal-Chuj,Guatemala
Acehnese [ace],-54.018,165.483,#5F8851,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Achagua [aca],-20.516,-103.08,#75536E,Arawak,North,Colombia
Achang_Lianghe [acn ],41.937,129.807,#47C3CF,Tibeto-Burman,Lolo-Burmese,China
Achang_Longchuan [can-2],44.703,139.154,#47B1CA,Tibeto-Burman,Lolo-Burmese,China
Achang_Luxi [can-3],43.384,140.406,#4AACC1,Tibeto-Burman,Lolo-Burmese,China
Aché [guq],-10.817,-86.089,#835277,Tupi,Tupi-Guarani,Paraguay
Achi [acr],29.075,-80.928,#84648F,Mayan,Quiche-Mam,Guatemala
Achuar [acu],49.841,-15.292,#947A98,Jivaroan,,Peru
Achumawi [acv],65.933,-97.317,#7C66BA,Palaihnihan,,USA
Acooli [ach],-28.407,53.19,#9CA566,Nilo-Saharan,East_Sudanic,Uganda
Adangme [ada],-30.167,168.348,#598769,Niger-Kongo,Kwa,Ghana
Adyghe [ady],-8.836,-158.806,#336273,North-west Caucasus,Circassian,Russia
Adynyamathanha [adt],-7.1,34.653,#CBB374,Pama-Nyungan,Yura,Australia
Adzera [azr],-21.239,-10.341,#957C77,Oceanic,Western Oceanic,Papua New Guinea
Aeka [aez],7.879,-22.822,#927882,Trans New Guinea,Binanderean,Papua New Guinea
Afar [aar],-19.509,-21.392,#B76A6A,Afro-Asiatic,Cushitic,Ethiopia
