name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#C8AE79,Tuu ,Hua,Botswana
||Ana [gnk-2],-22.2,22.4,#D6C29A,Khoe ,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#CCB380,Khoe ,Khoe,Botswana
||Gana [gnk],-19,22.5,#E1D3B6,Khoe ,Khoe,Botswana
||Xekwi [xeg],-23,22,#A07420,Tuu ,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#CFB889,Khoe ,Khoe,Botswana
|Xam [xam],-30.34,21.82,#E8DECA,Tuu ,/Xam,South Africa
A'iwa [ash],-2,-74.5,#A0C5D8,A'iwa ,,Peru
A'jië [aji],-21.342,165.459,#E8DECA,Oceanic,Southern Oceanic,New Caledonia
Aari [aiw],6,36.6,#E5D9BF,Afro-Asiatic ,Omotic,Ethiopia
Abanyom [abm],6.499,8.647,#C1D9E5,Niger-Kongo ,Atlantic-Congo,Nigeria
Abar [mij-3],6.59,10.26,#E8DECA,Niger-Kongo ,Atlantic-Congo,Cameroon
Abau [aau],-4,141.167,#0C6093,Sepik ,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#4E91B4,Lakes Plains ,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#7A3B00,Northwest Caucasus ,Abaza-Abkhaz,Russia
Abduyi [pes-4],29.7,52.07,#EDE9DF,Indo-European ,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#B2D0DE,Ndu ,Nuclear Ndu,Papua New Guinea
Abellen [abp],15.41,120.2,#79AEC8,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#A0C5D8,Algic ,Algonquian,USA
Aberdeenshire_English [sco-3],57.3,-2,#E8DECA,Indo-European ,Germanic,Britain-Scotland
Abidji [abi],5.66,-4.58,#E6ECEC,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Abinomn [bsa],-3,138.8,#64A1BE,Abinomn ,,Indonesia-Papua
Abipon [axb],-26,-61,#8EBAD0,Guaicuruan ,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#96650E,Northwest Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-13],43.32,40.41,#844800,Northwest Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-12],43.33,40.22,#915E07,Northwest Caucasus ,Abaza-Abkhaz,Abkhazia
Abron [abr],8.03,-2.8,#79AEC8,Niger-Kongo ,Atlantic-Congo,Ghana
Abruzzo [nap],42.66,13.7,#DDCDAC,Indo-European ,Romance,Italy
Abua [abn],4.8,6.654167,#E8DECA,Niger-Kongo ,Atlantic-Congo,Nigeria
Abui [abz],-8.417,124.6,#64A1BE,Timor-Alor-Pantar ,Alor-Pantar,Indonesia-NTT
Abujh_Maria [mrr-2],18.75,80.68,#D1E2EA,Dravidian ,South-Central Dravidian ,India
Abun [kgr],-0.833,132,#D1E2EA,West Papuan ,Birds Head,Indonesia-Papua
