name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#115188,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#A6AA53,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#2C4B86,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#446984,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#2E4891,Khoe,Khoe,Botswana
||Xekwi [xeg],-23,22,#598C62,Tuu,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#48658E,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#3B6A8A,Tuu,/Xam,South Africa
A'iwa [ash],-2,-74.5,#896160,A'iwa,,Peru
A'jië [aji],-21.342,165.459,#5CB687,Oceanic,Southern Oceanic,New Caledonia
Aari [aiw],6,36.6,#CA8D79,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#608C90,Tibeto-Burman,Macro-Tani,India
Abanyom [abm],6.499,8.647,#8C8CAC,Niger-Kongo,Atlantic-Congo,Nigeria
Abar [mij-3],6.59,10.26,#B9AA9B,Niger-Kongo,Atlantic-Congo,Cameroon
Abau [aau],-4,141.167,#934AA3,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#BC48A5,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#C2A80E,Northwest Caucasus,Abaza-Abkhaz,Russia
Abduyi [pes-4],29.7,52.07,#B56270,Indo-European,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#3F806D,Ndu,Nuclear Ndu,Papua New Guinea
Abellen [abp],15.41,120.2,#55597D,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#8B4F7A,Algic,Algonquian,USA
Aberdeenshire_English [sco-4],57.3,-2,#C0868C,Indo-European,Germanic,Britain
Abidji [abi],5.66,-4.58,#A27DA0,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Abinomn [bsa],-3,138.8,#8B4584,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#686167,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#B8A117,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-13],43.32,40.41,#C2AA0F,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-12],43.33,40.22,#BAA311,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abron [abr],8.03,-2.8,#B168AF,Niger-Kongo,Atlantic-Congo,Ghana
Abruzzo [nap],42.66,13.7,#9CB78B,Indo-European,Romance,Italy
Abua [abn],4.8,6.654167,#AE9BAA,Niger-Kongo,Atlantic-Congo,Nigeria
Abui [abz],-8.417,124.6,#7F5299,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abujh_Maria [mrr-2],18.75,80.68,#437970,Dravidian,South-Central Dravidian,India
Abun [kgr],-0.833,132,#AA74A0,West Papuan,Birds Head,Indonesia-Papua
Abure [abu],5.22,-3.64,#9F86A8,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Acatec [agu-2],15.7,-91.617,#A07F56,Mayan,Core Mayan,Guatemala
Aceh_Lhokseumawe [ace-7],5.19,97.14,#8CBD9C,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Aceh_Pidie [ace-2],5.38,95.96,#85BC9C,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese [ace],5.333,96.167,#8FB69B,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_Northeast [ace-6],4.62,97.62,#9CAF9F,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_South [ace-4],4.1,96.23,#9AAEA0,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_Southwest [ace-3],5.05,95.34,#99AD9F,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_West [ace-5],5.47,95.26,#9BACA1,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#926766,Arawak,Northern Maipuran,Colombia
Achang_Lianghe [acn-2],24.8,98.3,#B1D890,Tibeto-Burman,Lolo-Burmese,China
Achang_Longchuan [can-2],24.25,97.833,#B7EA91,Tibeto-Burman,Lolo-Burmese,China
Achang_Luxi [can-3],24.527,103.764,#BAB4A2,Tibeto-Burman,Lolo-Burmese,China
Aćharêtâʹ [phl-2],35.4,71.75,#A6C384,Indo-European,Indo-Iranian,Afghanistan
Aché [guq],-25.25,-55.17,#7A568C,Tupian,Tupi-Guarani,Paraguay
Achi [acr],15.25,-90.5,#92715B,Mayan,Core Mayan,Guatemala
Achuar [acu],-3,-76,#6D6069,Jivaroan,Shuaric,Peru
Achumawi [acv],41.5,-121,#A7A051,Palaihnihan,,USA
Acipa [acp],10.71,6.01,#DE996C,Niger-Kongo,Atlantic-Congo,Nigeria
Acoma [kjq-2],34.92,-107.58,#BCBF60,Keresan,Western Keresan,USA
Acooli [ach],3.293,32.871,#62AB96,Nilo-Saharan,Eastern Sudanic,Uganda
Adamawa Fulfulde [fub],8.9,15.84,#9E999E,Niger-Kongo,Atlantic-Congo,Cameroon
Adang [adn],-8.163,124.456,#775B94,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
