name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#1777C6,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#504D94,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#208983,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#287E97,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#249D89,Khoe,Khoe,Botswana
||Xekwi [xeg],-23,22,#2F5AA8,Tuu,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#2081A5,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#3784A2,Tuu,/Xam,South Africa
A-Hmao [hmd],25.75,106.08,#3571FF,Hmong-Mien,Hmongic,China
A'iwa [ash],-2,-74.5,#757350,A'iwa,,Peru
A'jië [aji],-21.342,165.459,#A37DB2,Oceanic,Southern Oceanic,New Caledonia
Aari [aiw],6,36.6,#2D7D8F,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#A88F87,Tibeto-Burman,Macro-Tani,India
Abanyom [abm],6.499,8.647,#6AA5AA,Niger-Kongo,Atlantic-Congo,Nigeria
Abar [mij-3],6.59,10.26,#4791B5,Niger-Kongo,Atlantic-Congo,Cameroon
Abau [aau],-4,141.167,#6FB35C,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#36B767,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#2F137B,Northwest Caucasus,Abaza-Abkhaz,Russia
Abduyi [pes-4],29.7,52.07,#4D7D5C,Indo-European,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#C57D7B,Ndu,Nuclear Ndu,Papua New Guinea
Abellen [abp],15.41,120.2,#A68C5A,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#708D52,Algic,Algonquian,USA
Aberdeenshire_English [sco-4],57.3,-2,#3F8680,Indo-European,Germanic,Britain
Abidji [abi],5.66,-4.58,#509D96,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Abinomn [bsa],-3,138.8,#6D914D,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#9E7957,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#391C7C,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-14],43.32,40.41,#2F1384,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-13],43.33,40.22,#37157C,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
