name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#E4D8BE,Tuu,Tuu,S Africa
’Weenhayek [mtp],-21.99,-63.6,#6DA6C2,Matacoan,Mataguayo II,SE South America
||Ana [gnk],-22.2,22.4,#E7DCC5,Khoe,Khoe,S Africa
||Ani [hnh],-19.3,22.5,#E9E0CD,Khoe,Khoe,S Africa
||Gana [gnk-2],-19,22.5,#C9B07D,Khoe,Khoe,S Africa
||Xekwi [xeg],-23,22,#9EC3D6,Tuu,Tuu,S Africa
|Gwi [gwj],-22.435,21.654,#E2D4B7,Khoe,Khoe,S Africa
|Xam [xam],-30.34,21.82,#DECFAF,Tuu,Tuu,S Africa
A-Hmao [hmd],25.75,106.08,#D2BD92,Hmong-Mien,Hmongic,Southeast Asia-mainland
A'iwa [ash],-2,-74.5,#7DB0C9,A'iwa,A'iwa,NE South America
A'jië [aji],-21.342,165.459,#E9E0CD,Austronesian,Southern Oceanic,Oceania
Aari [aiw],6,36.6,#EDECE5,Afro-Asiatic,South Omotic,Greater Abyssinia
Aashing [adi-10],28.99,94.9,#E7DCC5,Tibeto-Burman,Macro-Tani,Indic
Abanyom [abm],6.499,8.647,#A27622,Niger-Kongo,Ekoid,African Savannah
Abar [mij-3],6.59,10.26,#C1A467,Niger-Kongo,Beboid,African Savannah
Abau [aau],-4,141.167,#C4A86E,Sepik,Abau,N Coast New Guinea
Abawiri [flh],-3.05,139.21,#BE9F60,Lakes Plains,Eastern Lakes Plains,Interior New Guinea
Abaza [abq],44.34,41.67,#02226B,Northwest Caucasus,Abaza-Abkhaz,Greater Mesopotamia
Abduyi [pes-5],29.7,52.07,#B6D3E1,Indo-European,Indo-Iranian,Greater Mesopotamia
Abé [aba],5.6,-4.38,#C1A467,Niger-Kongo,Kwa,African Savannah
Abelam [abt-2],-3.83,143.17,#E6ECEC,Ndu,Nuclear Ndu,N Coast New Guinea
Abellen [abp],15.41,120.2,#EDECE5,Austronesian,Philippines,Southeast Asia-Island
Abenaki_Western [abe],44,-72.25,#E2EBEC,Algic,Algonquian,E North America
Aberdeenshire_English [sco-4],57.3,-2,#E6ECEC,Indo-European,Germanic,Europe
Abidji [abi],5.66,-4.58,#BE9F60,Niger-Kongo,Kwa,African Savannah
Abinomn [bsa],-3,138.8,#E6ECEC,Abinomn,Abinomn,Interior New Guinea
