name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#5F598D,Tuu,!Kwi,Botswana
/Xam [xam],-30.34,21.82,#666B88,Tuu,!Kwi,South Africa
||Ana [xxx-2],-22.2,22.4,#596F6F,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#58895C,Khoe,Khoe,Botswana
||Gana [gnk],-19,22.5,#538257,Khoe,Khoe,Botswana
||Xekwi [xeg],-23,22,#4575C0,Tuu,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#528556,Khoe,Khoe,Botswana
A'iwa [ash],-2,-74.5,#8C4B68,A'iwa,,Peru
A'jië [aji],-21.342,165.459,#AF9F7A,Oceanic,,New Caledonia
Aari [aiw],6,36.6,#4E6394,Afro-Asiatic,Omotic,Ethiopia
Abanyom [abm],6.499,8.647,#879E7C,Niger-Kongo,Bantoid,Nigeria
Abau [aau],-4,141.167,#8D6D5A,Sepik,Abau,Papua New Guinea
Abaza [abq],44.34,41.67,#373B85,North-west Caucasus,Abaza-Abkhaz,Russia
Abelam [abt-2],-3.83,143.17,#AA8E8E,Sepik,Ndu,Papua New Guinea
Abenaki_Western [abe],44,-72.25,#7C7966,Algic,Algonquian,USA
Aberdeenshire English [sco-3],57.3,-2,#596AC0,Indo-European,Germanic,Britain
Abinomn [bsa],-3,138.8,#A04969,Abinomn,,Indonesia
Abipon [axb],-26,-61,#9C7B76,Guaicuruan,Southern,Argentina
Abkhaz [abk],43,41.03,#544881,North-west Caucasus,Abaza-Abkhaz,Georgia
Abma [app],-15.75,168.083,#9B6362,Oceanic,Southern Oceanic,Vanuatu
Abua [abn],4.8,6.654167,#5E998C,Niger-Kongo,CrossRiver,Nigeria
Abui [abz],-8.417,124.6,#8C6A72,Timor-Alor-Pantar,Alor-Pantar,Indonesia
Abujh Maria [mrr-2],18.75,80.68,#9A5BA5,Dravidian,South-central,India
Abun [kgr],-0.833,132,#795F7C,West Papuan,Birds Head,Indonesia
Acatec [agu-2],15.7,-91.617,#7B5B7A,Mayan,Kanjobal-Chuj,Guatemala
Aceh_Lhokseumawe [ace-6],5.19,97.14,#82AC99,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Aceh_Pidie [ace-7],5.38,95.96,#8AB59D,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Acehnese [ace],5.333,96.167,#7A859F,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Acehnese_Northeast [ace-5],4.62,97.62,#6C8397,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Acehnese_South [ace-3],4.1,96.23,#688298,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Acehnese_Southwest [ace-2],5.05,95.34,#68829B,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Acehnese_West [ace-4],5.47,95.26,#66829C,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Achagua [aca],4.002,-72.814,#7E517E,Arawak,North,Colombia
Achang_Lianghe [acn ],24.8,98.3,#41C34D,Tibeto-Burman,Lolo-Burmese,China
Achang_Longchuan [can-2],24.25,97.833,#3FAD4F,Tibeto-Burman,Lolo-Burmese,China
Achang_Luxi [can-3],24.527,103.764,#45A94D,Tibeto-Burman,Lolo-Burmese,China
Aché [guq],-25.25,-55.17,#8A4E8A,Tupi,Tupi-Guarani,Paraguay
Achi [acr],15.25,-90.5,#8B6494,Mayan,Quiche-Mam,Guatemala
Achuar [acu],-3,-76,#957D74,Jivaroan,,Peru
Achumawi [acv],41.5,-121,#756B5C,Palaihnihan,,USA
Acooli [ach],3.293,32.871,#93A293,Nilo-Saharan,East_Sudanic,Uganda
Adang [adn],-8.163,124.456,#8E8477,Timor-Alor-Pantar,Alor-Pantar,Indonesia
Adangme [ada],5.8,0.33,#5385A8,Niger-Kongo,Kwa,Ghana
Adyghe [ady],44.1,39.08,#4E5686,North-west Caucasus,Circassian,Russia
Adynyamathanha [adt],-31,139.5,#CBB0B6,Pama-Nyungan,Yura,Australia
Adzera [azr],-6.417,146.25,#9A7890,Oceanic,Western Oceanic,Papua New Guinea
Aeka [aez],-8.601,147.994,#8A865F,Trans New Guinea,Binanderean,Papua New Guinea
Afar [aar],12,41,#B964A8,Afro-Asiatic,Cushitic,Ethiopia
Afitti [aft],12.44,31,#8D9E80,Nilo-Saharan,Eastern Sudanic,Sudan
Afshar [azj-2],37.475,57.33,#7D6B8A,Turkic,South-west,Iran
Agarabi [agd],-6.25,145.917,#B17252,Trans New Guinea,Kainantu,Papua New Guinea
Aghem [agq],6.39,10.12,#36B66D,Niger-Kongo,Bantoid,Cameroon
Aghu [ahh],-6.333,140,#7D7B55,Trans New Guinea,Awyu-Dumut,Indonesia
Agta [agt],17.967,121.833,#7E9482,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#994A8C,Jivaroan,,Peru
Aguatec [agu],15.4,-91.4,#7B4C6C,Mayan,Quiche-Mam,Guatemala
Agul [agx],41.78,47.59,#3A5B8F,Nakh-Daghestanian,Lezgic,Russia
Agul_Burkixan [agx-2],41.78,47.6,#3E6196,Nakh-Daghestanian,Lezgic,Russia
Agul_Burshag [agx-3],41.86,47.62,#475F98,Nakh-Daghestanian,Lezgic,Russia
Agul_Fite [agx-4],41.79,47.59,#366499,Nakh-Daghestanian,Lezgic,Russia
Agul_Richa [agx-5],41.78,47.61,#32609D,Nakh-Daghestanian,Lezgic,Russia
Agutaynen [agn],11.15,120.95,#A39A77,Malayo-Polynesian,Philippines,Philippines
Agwamin [wmi],-16.986,143.001,#C5A7AA,Pama-Nyungan,,Australia
Ahi [yix],24.4,103.4,#2BA35A,Tibeto-Burman,Lolo-Burmese,China
Ahom [aho],25,95,#59A481,Tai-Kadai,South,India
Ahtna [aht],62,-145,#5B655C,Dene-Yeniseic,Na-Dene,USA
Ai-cham_Diwo [aih],25.8,107,#24A770,Tai-Kadai,South,China
Aikaná [tba],-12.1,-60.6,#837971,Aikaná,,Brazil
Ainu [ain],43.5,142,#A3615A,Ainu,,Japan
Airoran [air],-1.7,138.15,#A76D66,Kwerba,West,Indonesia
Aisi [mmq],-5.35,145.15,#9B9064,Trans New Guinea,Madang,Papua New Guinea
Ait Seghrouchen [tzm-2],33,-5,#7150B4,Afro-Asiatic,Berber,Morocco
Aita Rotokas [roo-2],-6,155.08,#B37C5F,West Bougainville,,Papua New Guinea
Aiton [aio-2],24,94,#70B178,Tai-Kadai,South,India
Aitutaki [rar-2],-18.872,-159.782,#B58B5E,Oceanic,,Cook Islands
Aiwoo [nfl],-10.5,166.5,#A68B74,Oceanic,TeMotu,Solomons
Aizi [ahp],5.25,-4.5,#5F9D7F,Niger-Kongo,Kru,Côte d'Ivoire
Aka [hru],27.2,92.9,#33878C,Tibeto-Burman,Hrusish,India
Akan [aka],6.5,-1.25,#825B6C,Niger-Kongo,Kwa,Ghana
Akawaio [ake],6,-59.5,#9D5C84,Cariban,Venezuelan,Guyana
Akei [tsr],-15.49,166.75,#AE7C61,Oceanic,,Vanuatu
Akha [ahk],20.3,99.6,#6E839B,Tibeto-Burman,Lolo-Burmese,Thailand
Akha_Buli [ahk-6],21.2,101.15,#49AF85,Tibeto-Burman,Lolo-Burmese,Laos
Akha_Senchai [ahk-2],27,96,#288696,Tibeto-Burman,Lolo-Burmese,Myanmar
Aklanon [akl],11.58,122.33,#97987C,Malayo-Polynesian,Philippines,Philippines
Akosse [bss],5,9.7,#777685,Niger-Kongo,Bantoid,Cameroon
Akoye [miw-2],-7.645,145.65,#8E6F43,Trans New Guinea,Angan,Papua New Guinea
Akuntsu [aqz],-12.74,-60.8,#B3885A,Tupi,Tupari,Brazil
Akurio [ako],3.0132,-55.6434,#B37988,Cariban,Guianan,Suriname
Akwa [akw],-0.005,15.612,#719582,Niger-Kongo,Bantoid,Congo
Alaala [nrz],-9,146.667,#999762,Oceanic,Western Oceanic,Papua New Guinea
Alabama [akz],32.7,-86.1,#8F547D,Muskogean,Eastern,USA
Alacalufe_Central [alc-2],-53.528,-70.9573,#856B67,Alaculufan,,Chile
Alacalufe_Southern [alc-3],-55.2,-69.4,#87688D,Alaculufan,,Chile
Alamblak [amp],-4.667,143.25,#9C5569,Sepik,Sepik Hill,Papua New Guinea
Alas Batak [btz],2.64,98,#879C78,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Alawa [alh],-15.75,134.333,#C1BA83,Mara-Warndarang-Alawa,,Australia
Albanian Gheg [aln],42.43,20.73,#5164CE,Indo-European,Albanian,Albania
Albanian Tosk [als],40.5,20,#485FAA,Indo-European,Albanian,Albania
Albanian_Upper Reka [aln-2],41.72,20.57,#5949A7,Indo-European,Albanian,Montenegro
Albanican_Cham [als-4],39.6,20.8,#5A56AB,Indo-European,Albanian,Greece
Albanican_Lab [als-5],40.17,19.83,#5859AA,Indo-European,Albanian,Greece
Alekano [gah-2],-6,145.4,#7E6048,Trans New Guinea,Gorokan,Papua New Guinea
Aleut [ale],54,-166,#70887F,Eskimo-Aleut,Aleut,USA
Aleut_Atkan [ale-4],52,-174,#76669B,Eskimo-Aleut,Aleut,USA
Aleut_Attuan [ale-2],52.85,-173,#796A7A,Eskimo-Aleut,Aleut,USA
Aleut_Eastern [ale-3],54.75,-164,#7C6890,Eskimo-Aleut,Aleut,USA
Algonquin [alq],46,-82,#815995,Algic,Algonquian,Canada
Ali [ykm],-3.17,142.25,#AC8E73,Oceanic,,Papua New Guinea
Alladian [ald],5.17,-4.33,#5C8283,Niger-Kongo,Kwa,Côte d'Ivoire
Allentiac [qbt],-32,-66,#7E7285,Huarpe,,Argentina
Alngith [aid],-12.5,142.17,#BBA7A9,Pama-Nyungan,,Australia
Alor [aol],-8.245,124.412,#9B727C,Malayo-Polynesian,Timoric,Indonesia
Alsatian [gsw-2],48.32,7.44,#787D7C,Indo-European,Germanic,France
Alsea [aes],44.67,-123.93,#6A4C55,Alsean,,USA
Altai [alt],51,87,#817B92,Turkic,North-east,Russia
Altai_Kumandy [atv],51.3,87.7,#B58FA0,Turkic,North-east,Russia
Alumbis Murut [mvv],4.799,115.496,#9D856C,Malayo-Polynesian,North Borneo,Malaysia
Alune [alp],-3.167,128.333,#9D5B55,Malayo-Polynesian,Central Maluku,Indonesia
Alur [alz],2.5,31.25,#50A8A2,Nilo-Saharan,East_Sudanic,Uganda
Alutiiq [ems],61.53,-165.58,#7A7D70,Eskimo-Aleut,Eskimo,USA
Alyawarr [aly],-24.6,134.5,#B8C48E,Pama-Nyungan,Arandic,Australia
Alyutor [alr],61,165,#9B7A92,Chukotko-Kamchatkan,Main,Russia
Ama [amm],-4.168,141.671,#995C41,Left May,,Papua New Guinea
Amahai_Soahuku [amq],-3.332,128.949,#AB8368,Malayo-Polynesian,Central Maluku,Indonesia
Amahuaca [amc],-10.8,-73.5,#7E4875,Panoan,Main,Peru
Amaimon [ali],-5.193,145.325,#9C7E98,Trans New Guinea,Madang,Papua New Guinea
Amam [wer-2],-7.92,147.2,#AE8478,Trans New Guinea,Goilala,Papua New Guinea
Amami_Ryukyu [ams],28,129,#716086,Japonic,Ryukyuan,Japan
Amanab [amn],-3.5,141.167,#957D73,Trans New Guinea,Border,Papua New Guinea
Amanutun [aoz-2],-9.69,124.83,#906B58,Malayo-Polynesian,Timoric,Indonesia
Amara [aie],-5.533,148.667,#A09D7B,Oceanic,Western Oceanic,Papua New Guinea
