name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#8AC313,Tuu ,Hua,Botswana
||Ana [gnk-2],-22.2,22.4,#A97D07,Khoe ,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#CB7D19,Khoe ,Khoe,Botswana
||Gana [gnk],-19,22.5,#8C7D00,Khoe ,Khoe,Botswana
||Xekwi [xeg],-23,22,#FF7E89,Tuu ,!Kwi,Botswana
|Gwi [gwj],-22.435,21.654,#BD7D10,Khoe ,Khoe,Botswana
|Xam [xam],-30.34,21.82,#BDEF90,Tuu ,!Kwi,South Africa
A'iwa [ash],-2,-74.5,#FA78A1,A'iwa ,,Peru
A'jië [aji],-21.342,165.459,#FA78A1,Oceanic,Southern Oceanic,New Caledonia
Aari [aiw],6,36.6,#FA78A1,Afro-Asiatic ,Omotic,Ethiopia
Abanyom [abm],6.499,8.647,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Nigeria
Abar [mij-3],6.59,10.26,#FA78A1,Niger-Kongo ,Atlantic-Congo,Cameroon
Abau [aau],-4,141.167,#257E25,Sepik ,Abau,Papua New Guinea
Abawiri [flh-2],-3.05,139.21,#88202A,Lakes Plains ,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#FF7E89,North-west Caucasus ,Abaza-Abkhaz,Russia
Abduyi [pes-4],29.7,52.07,#0E74B8,Indo-European ,Indo-Iranian,Iran
Abelam [abt-2],-3.83,143.17,#DB6DD7,Ndu ,Nuclear Ndu,Papua New Guinea
Abellen [abp],15.41,120.2,#027B95,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#0E74B8,Algic ,Algonquian,USA
Aberdeenshire_English [sco-3],57.3,-2,#0E74B8,Indo-European ,Germanic,Britain-Scotland
Abidji [abi],5.66,-4.58,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Abinomn [bsa],-3,138.8,#8C7D00,Abinomn ,,Indonesia-Papua
Abipon [axb],-26,-61,#DB6DD7,Guaicuruan ,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#FF7D8A,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Bzyp [ady-13],43.32,40.41,#FF7E89,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abkhaz_Sadz [ady-12],43.33,40.22,#FF7D8A,North-west Caucasus ,Abaza-Abkhaz,Abkhazia
Abron [abr],8.03,-2.8,#437D0F,Niger-Kongo ,Atlantic-Congo,Ghana
Abruzzo [nap-3],42.66,13.7,#B57CF3,Indo-European ,Romance,Italy
Abua [abn],4.8,6.654167,#0E74B8,Niger-Kongo ,Atlantic-Congo,Nigeria
Abui [abz],-8.417,124.6,#027B95,Timor-Alor-Pantar ,Alor-Pantar,Indonesia-NTT
Abujh_Maria [mrr-2],18.75,80.68,#DB6DD7,Dravidian ,South-central,India
Abun [kgr],-0.833,132,#687D02,West Papuan ,Birds Head,Indonesia-Papua
Abure [abu],5.22,-3.64,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Acatec [agu-2],15.7,-91.617,#FD7B95,Mayan ,Core Mayan,Guatemala
Aceh_Lhokseumawe [ace-6],5.19,97.14,#FA78A1,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Aceh_Pidie [ace-7],5.38,95.96,#DB6DD7,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese [ace],5.333,96.167,#DB6DD7,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_Northeast [ace-5],4.62,97.62,#DB6DD7,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_South [ace-3],4.1,96.23,#DB6DD7,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_Southwest [ace-2],5.05,95.34,#0E74B8,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Acehnese_West [ace-4],5.47,95.26,#0E74B8,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#FA78A1,Arawak ,Northern Maipuran,Colombia
Achang_Lianghe [acn ],24.8,98.3,#AACEDB,Tibeto-Burman ,Lolo-Burmese,China
Achang_Longchuan [can-2],24.25,97.833,#CDC1CD,Tibeto-Burman ,Lolo-Burmese,China
Achang_Luxi [can-3],24.527,103.764,#DB6DD7,Tibeto-Burman ,Lolo-Burmese,China
Aćharêtâʹ [phl-2],35.4,71.75,#FE7C90,Indo-European ,Indo-Iranian,Afghanistan
Aché [guq],-25.25,-55.17,#0E74B8,Tupian ,Tupi-Guarani,Paraguay
Achi [acr],15.25,-90.5,#FA78A1,Mayan ,Core Mayan,Guatemala
Achuar [acu],-3,-76,#8C7D00,Jivaroan ,Shuaric,Peru
Achumawi [acv],41.5,-121,#8CD2E0,Palaihnihan ,,USA
Acipa [acp],10.71,6.01,#0E74B8,Niger-Kongo ,Atlantic-Congo,Nigeria
Acoma [kjq-2],34.92,-107.58,#B6BD1D,Keresan ,Western Keresan,USA
Acooli [ach],3.293,32.871,#FA78A1,Nilo-Saharan ,Nilotic,Uganda
Adamawa Fulfulde [fub],8.9,15.84,#0E74B8,Niger-Kongo ,Atlantic-Congo,Cameroon
Adang [adn],-8.163,124.456,#027B95,Timor-Alor-Pantar ,Alor-Pantar,Indonesia-NTT
Adangme [ada],5.8,0.33,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Ghana
Adyghe [ady],44.1,39.08,#FF7D8A,North-west Caucasus ,Circassian,Russia
Adyghe_Abzakh [ady-11],44.7,38.9,#FF7D8A,North-west Caucasus ,Circassian,Russia
Adyghe_Besleney [ady-5],44.7,40.75,#FF7E88,North-west Caucasus ,Circassian,Russia
Adyghe_Black Sea Shapsugh [ady-14],44.375,38.4,#FF7E87,North-west Caucasus ,Circassian,Russia
Adyghe_Bzhedug [ady-6],45,39.3,#FF7E88,North-west Caucasus ,Circassian,Russia
Adyghe_Cherkess [ady-9],44.25,42.05,#FF7D8A,North-west Caucasus ,Circassian,Russia
Adyghe_Hakuchi [ady-8],44.88,38,#FF7D8A,North-west Caucasus ,Circassian,Russia
Adyghe_Kfar Kama [ady-7],32.72,35.44,#FF7D8A,North-west Caucasus ,Circassian,Israel
Adyghe_Natukai [ady-3],44.4,38.35,#FF7E87,North-west Caucasus ,Circassian,Russia
Adyghe_Shapsugh [ady-2],44.3,39,#FF7E87,North-west Caucasus ,Circassian,Russia
Adyghe_Temirgoy [ady-10],45.125,39.83,#FF7D8A,North-west Caucasus ,Circassian,Russia
Adyghe_Uzunyayla [ady-4],44.25,38.77,#FF7E89,North-west Caucasus ,Circassian,Russia
Adynyamathanha [adt],-31,139.5,#9B7EFC,Pama-Nyungan ,Thura-Yura,Australia
Adyukru [adj],5.38,-4.53,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Ghana
Adzera [azr],-6.417,146.25,#687D02,Oceanic,Western Oceanic,Papua New Guinea
Aeka [aez],-8.601,147.994,#027B95,Trans New Guinea ,Oro-Wharton,Papua New Guinea
Afar [aar],11.85,42,#0E74B8,Afro-Asiatic ,Cushitic,Djibouti
Afitti [aft-2],12.44,31,#0E74B8,Nilo-Saharan ,Nyimang,Sudan
Afrikaans [afr],-33.9,18.5,#027B95,Indo-European ,Germanic,South Africa
Afshar [azj-2],37.475,57.33,#0E74B8,Turkic ,South-west Turkic,Iran
Agabag [mvv-2],3.965,117.095,#0E74B8,Malayo-Polynesian,North Borneo,Indonesia-Kalimantan
Agarabi [agd],-6.25,145.917,#437D0F,Trans New Guinea ,Morobe-Eastern Highlands,Papua New Guinea
Agatu [agc],7.98,7.72,#FD7B95,Niger-Kongo ,Volta-Niger,Nigeria
Aghem [agq],6.39,10.12,#FD7B95,Niger-Kongo ,Atlantic-Congo,Cameroon
Aghu [ahh],-6.333,140,#437D0F,Trans New Guinea ,Awyu-Dumut,Indonesia-Papua
Aghu-Tharrnggala [gtu],-13.73,142.43,#DB6DD7,Pama-Nyungan ,Paman,Australia
Aglla [idu-3],6.8,7.95,#DA7DD9,Niger-Kongo ,Volta-Niger,Nigeria
Agöb [kit],-9.09,142.53,#0E74B8,South New Guinea ,East Morehead River,Papua New Guinea
Agta [agt],17.967,121.833,#027B95,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#8C7D00,Jivaroan ,Aguaruna,Peru
Aguatec [agu],15.4,-91.4,#FA78A1,Mayan ,Core Mayan,Guatemala
Agul [agx],41.78,47.59,#FA78A1,Nakh-Daghestanian ,Lezgic,Russia
Agul_Burkixan [agx-2],41.78,47.6,#FD7B95,Nakh-Daghestanian ,Lezgic,Russia
Agul_Burshag [agx-3],41.86,47.62,#FD7B95,Nakh-Daghestanian ,Lezgic,Russia
Agul_Fite [agx-4],41.79,47.59,#FD7B95,Nakh-Daghestanian ,Lezgic,Russia
Agul_Richa [agx-5],41.78,47.61,#FD7B95,Nakh-Daghestanian ,Lezgic,Russia
Agusan [mbb-2],8.63,125.74,#027B95,Malayo-Polynesian,Philippines,Philippines
Agutaynen [agn],11.15,120.95,#0E74B8,Malayo-Polynesian,Philippines,Philippines
Agwamin [wmi],-16.986,143.001,#DB6DD7,Pama-Nyungan ,Paman,Australia
Ahan [ahn],7.44,6.01,#DB6DD7,Niger-Kongo ,Volta-Niger,Nigeria
Ahanta [aha],4.85,-1.95,#FD7B95,Niger-Kongo ,Atlantic-Congo,Ghana
Ahi [yix],24.4,103.4,#FA78A1,Tibeto-Burman ,Lolo-Burmese,China
Ahom [aho],25,95,#0E74B8,Tai-Kadai ,South Tai-Kadai,India
Ahtna [aht],62,-145,#FA78A1,Dene-Yeniseic ,Na-Dene,USA-Alaska
Ai-cham_Diwo [aih],25.8,107,#93FD92,Tai-Kadai ,South Tai-Kadai,China
Aikaná [tba],-12.1,-60.6,#8C7D00,Aikaná ,,Brazil
Ainu [ain],43.5,142,#437D0F,Ainu ,,Japan
Ainu_Sakhalin [ain-2],49.07,142.03,#437D0F,Ainu ,,Japan
Airoran [air],-1.7,138.15,#8C7D00,Kwerba ,West Kwerba,Indonesia-Papua
Aisi [mmq],-5.35,145.15,#027B95,Trans New Guinea ,Madang,Papua New Guinea
Ait_Seghrouchen [tzm-2],33,-5,#8CD2E0,Afro-Asiatic ,Berber,Morocco
Aita_Rotokas [roo-2],-6,155.08,#437D0F,North Bougainville ,Rotokas,Papua New Guinea-Bougainville
Aiton [aio-2],24,94,#0E74B8,Tai-Kadai ,South Tai-Kadai,India
Aitutaki [rar-2],-18.872,-159.782,#437D0F,Oceanic,Central Pacific,Cook Islands
Aiwoo [nfl],-10.5,166.5,#FA78A1,Oceanic,TeMotu,Solomons_East
Aizi [ahp],5.25,-4.5,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Aja [ajg],8.58,25.61,#FE7C90,Niger-Kongo ,Volta-Niger,Benin
Ajumbu [muc-2],6.55,10.27,#FA78A1,Niger-Kongo ,Atlantic-Congo,Cameroon
Aka [axk],3.46,15.73,#DB6DD7,Ubangian ,,Central African Republic
Aka [hru],27.2,92.9,#FA78A1,Tibeto-Burman ,Hrusish,India
Akan [aka],6.5,-1.25,#8C7D00,Niger-Kongo ,Atlantic-Congo,Ghana
Akaselem [aks],8.89,1.37,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Togo
Akawaio [ake],6,-59.5,#437D0F,Cariban ,Venezuelan,Guyana
Ake [aik],8.6,8.76,#DB6DD7,Niger-Kongo ,Atlantic-Congo,Nigeria
Akei [tsr],-15.49,166.75,#0E74B8,Oceanic,Southern Oceanic,Vanuatu
Akha [ahk],20.3,99.6,#687D02,Tibeto-Burman ,Lolo-Burmese,Thailand
Akha_Buli [ahk-6],21.2,101.15,#DB6DD7,Tibeto-Burman ,Lolo-Burmese,Laos
Akha_Chicho [ahk-7],20.92,101.4,#DB6DD7,Tibeto-Burman ,Lolo-Burmese,Laos
Akha_Senchai [ahk-2],27,96,#DB6DD7,Tibeto-Burman ,Lolo-Burmese,Myanmar
Akie [oki],-5.43,37.19,#0E74B8,Nilo-Saharan ,Nilotic,Kenya
Aklanon [akl],11.58,122.33,#027B95,Malayo-Polynesian,Philippines,Philippines
Akosse [bss],5,9.7,#0E74B8,Niger-Kongo ,Atlantic-Congo,Cameroon
Akoye [miw-2],-7.645,145.65,#437D0F,Trans New Guinea ,Morobe-Eastern Highlands,Papua New Guinea
Akpes [ibe],7.5,5.96,#DB6DD7,Niger-Kongo ,Volta-Niger,Nigeria
Akuntsu [aqz],-12.74,-60.8,#687D02,Tupian ,Tupari,Brazil
Akurio [ako],3.0132,-55.6434,#687D02,Cariban ,Guianan Carib,Suriname
Akwa [akw],-0.005,15.612,#0E74B8,Niger-Kongo ,Atlantic-Congo,Congo
Akweya [akf],7.33,8.02,#BFC7D4,Niger-Kongo ,Volta-Niger,Nigeria
Akye-Gnan [ati-2],5.48,-4.09,#FA78A1,Niger-Kongo ,Atlantic-Congo,Côte d'Ivoire
Alaala [nrz],-9,146.667,#027B95,Oceanic,Western Oceanic,Papua New Guinea
Alaba-K'abeena [alw],7.39,38.17,#0E74B8,Afro-Asiatic ,Cushitic,Ethiopia
Alabama [akz],32.7,-86.1,#0E74B8,Muskogean ,Alabama-Koasati,USA
Alacalufe_Central [alc-2],-53.528,-70.9573,#DB6DD7,Alaculufan ,,Chile
Alacalufe_Southern [alc-3],-55.2,-69.4,#DB6DD7,Alaculufan ,,Chile
Alagwa [wbj],-4.64,35.72,#FF7D8D,Afro-Asiatic ,Cushitic,Tanzania
Alamblak [amp],-4.667,143.25,#437D0F,Sepik ,Sepik Hill,Papua New Guinea
Alas_Batak [btz],2.64,98,#0E74B8,Malayo-Polynesian,Batak-Barrier Islands,Indonesia-Sumatra
Alawa [alh],-15.75,134.333,#8A7DFF,Macro-Gunwinygu ,Marran,Australia
Albanian_Cham [als-4],39.6,20.8,#907CFE,Indo-European ,Albanian,Greece
Albanian_Gheg [aln],42.43,20.73,#907CFE,Indo-European ,Albanian,Albania
Albanian_Lab [als-5],40.17,19.83,#907CFE,Indo-European ,Albanian,Albania
Albanian_Mandritsa [aln-4],41.38,26.13,#907CFE,Indo-European ,Albanian,Bulgaria
Albanian_Tosk [als],40.5,20,#B57CF3,Indo-European ,Albanian,Albania
Albanian_Upper_Reka [aln-2],41.72,20.57,#B57CF3,Indo-European ,Albanian,Montenegro
Albanian_Vaccarizzo [als-6],39.58,16.43,#A37DFA,Indo-European ,Albanian,Italy
Alekano [gah-2],-6,145.4,#027B95,Trans New Guinea ,Morobe-Eastern Highlands,Papua New Guinea
Aleut [ale],54,-166,#BDEF90,Eskimo-Aleut ,Aleut,USA-Alaska
Aleut_Atkan [ale-4],52,-174,#BDEF90,Eskimo-Aleut ,Aleut,USA-Alaska
